Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Lamar Odom,LA Clippers,4,0,0,6,2-9,0-2,22:13,2,3,+0,4,0,0-0,8,1
Jamal Crawford,LA Clippers,1,0,0,0,9-18,0-0,33:15,0,0,+0,24,0,6-11,0,1
Caron Butler,LA Clippers,3,1,0,4,7-12,2-2,25:37,1,0,+0,19,2,3-7,5,0
Matt Barnes,LA Clippers,2,1,0,1,3-8,2-4,22:28,2,2,+0,9,1,1-4,3,0
Willie Green,LA Clippers,1,0,0,1,2-5,1-1,13:46,0,1,+0,5,1,0-2,1,1
Chris Paul,LA Clippers,9,0,0,2,1-7,2-3,33:28,0,4,+0,4,2,0-3,2,2
Ronny Turiaf,LA Clippers,0,0,0,2,0-1,0-2,7:09,1,1,+0,0,0,0-0,3,0
DeAndre Jordan,LA Clippers,0,1,0,3,0-0,1-2,21:06,0,2,+0,1,0,0-0,3,1
Blake Griffin,LA Clippers,8,2,0,9,11-18,4-6,40:31,4,0,+0,26,3,0-2,13,5
Eric Bledsoe,LA Clippers,4,0,0,1,3-5,0-0,20:27,0,3,+0,7,1,1-1,1,3
Richard Jefferson,Golden State,1,1,0,3,2-3,2-3,11:36,0,3,+0,7,0,1-1,3,1
Andris Biedrins,Golden State,0,1,0,2,0-0,0-0,14:50,0,2,+0,0,1,0-0,2,0
Jarrett Jack,Golden State,10,0,0,6,7-15,4-4,33:01,0,1,+0,18,1,0-2,6,2
David Lee,Golden State,6,0,0,9,5-16,2-2,38:52,2,5,+0,12,0,0-0,11,5
Carl Landry,Golden State,0,0,0,3,3-5,0-0,24:33,2,0,+0,6,1,0-0,5,3
Stephen Curry,Golden State,6,0,0,3,9-14,4-4,36:38,0,4,+0,28,0,6-8,3,2
Klay Thompson,Golden State,1,0,0,2,6-13,3-3,38:43,0,0,+0,18,1,3-8,2,2
Jeremy Tyler,Golden State,0,0,0,0,0-0,0-0,0:07,0,0,+0,0,0,0-0,0,0
Harrison Barnes,Golden State,1,0,0,2,4-4,0-0,15:59,0,1,+0,9,0,1-1,2,1
Festus Ezeli,Golden State,0,0,0,1,0-1,1-2,13:37,1,4,+0,1,0,0-0,2,0
Draymond Green,Golden State,0,0,0,2,3-4,0-0,11:44,1,1,+0,7,0,1-2,3,1
Kent Bazemore,Golden State,0,0,0,0,0-0,0-0,0:20,0,0,+0,0,0,0-0,0,0
