Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Blake Griffin,LA Clippers,4,1,2,5,6-18,7-8,34:36,3,4,-13,19,1,0-1,8,1
Jared Dudley,LA Clippers,1,0,1,1,2-3,0-0,23:24,0,2,-16,6,0,2-2,1,0
DeAndre Jordan,LA Clippers,1,2,1,11,5-9,2-4,38:58,6,3,-8,12,1,0-0,17,1
Darren Collison,LA Clippers,4,0,2,3,4-8,2-2,29:48,0,2,-15,10,0,0-0,3,4
J.J. Redick,LA Clippers,4,0,1,1,4-17,0-0,28:25,0,1,-1,8,0,0-7,1,2
Jamal Crawford,LA Clippers,1,0,0,1,7-18,6-6,28:17,0,3,-19,22,1,2-7,1,2
Matt Barnes,LA Clippers,0,0,0,6,2-5,0-0,27:40,0,2,-4,4,0,0-2,6,0
Hedo Turkoglu,LA Clippers,1,0,0,2,1-1,2-2,13:24,0,0,-1,4,0,0-0,2,0
Ryan Hollins,LA Clippers,0,1,1,0,1-2,2-2,6:56,0,0,+0,4,0,0-0,0,1
Darius Morris,LA Clippers,1,0,0,0,0-1,0-0,6:15,0,1,+3,0,0,0-0,0,1
Byron Mullens,LA Clippers,0,0,0,0,1-1,0-0,2:17,0,0,+4,3,0,1-1,0,0
Paul George,Indiana,2,0,1,6,12-17,7-7,35:57,0,2,+13,36,3,5-6,6,1
David West,Indiana,0,0,1,2,2-4,0-0,15:29,0,1,+1,4,0,0-0,2,1
Roy Hibbert,Indiana,2,5,0,6,2-11,0-0,25:55,5,4,+12,4,0,0-0,11,2
Lance Stephenson,Indiana,7,0,0,7,8-17,6-7,41:06,5,4,+10,22,1,0-3,12,4
George Hill,Indiana,3,0,0,3,2-5,2-2,28:14,0,1,+4,6,0,0-0,3,0
Danny Granger,Indiana,2,1,2,3,4-13,2-2,26:34,1,3,+16,12,0,2-5,4,0
C.J. Watson,Indiana,1,0,0,2,5-8,0-0,20:42,0,2,+11,11,1,1-3,2,1
Ian Mahinmi,Indiana,0,1,0,1,0-0,0-0,19:48,1,2,+6,0,0,0-0,2,1
Luis Scola,Indiana,0,0,0,3,2-5,4-4,15:21,1,4,+13,8,0,0-0,4,1
Rasual Butler,Indiana,0,0,0,0,0-1,0-0,3:10,0,0,-4,0,0,0-1,0,0
Orlando Johnson,Indiana,0,0,0,2,0-1,0-0,3:10,0,1,-4,0,0,0-0,2,1
Chris Copeland,Indiana,0,1,0,0,1-1,0-0,2:17,0,1,-4,3,0,1-1,0,0
Donald Sloan,Indiana,0,0,0,0,0-0,0-0,2:17,0,0,-4,0,0,0-0,0,0
