Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chauncey Billups,LA Clippers,2,0,0,2,3-8,3-3,22:39,0,2,+0,11,0,2-4,2,2
Lamar Odom,LA Clippers,1,1,0,2,3-4,0-0,13:33,0,1,+0,9,1,3-4,2,0
Jamal Crawford,LA Clippers,3,0,0,3,3-10,3-3,23:45,0,2,+0,10,0,1-2,3,1
Caron Butler,LA Clippers,0,1,0,2,3-6,2-2,23:34,0,2,+0,10,0,2-4,2,0
Matt Barnes,LA Clippers,0,0,0,2,2-6,7-8,26:01,0,4,+0,12,0,1-5,2,1
Chris Paul,LA Clippers,4,0,0,6,4-11,0-0,35:08,0,4,+0,8,3,0-2,6,5
Ronny Turiaf,LA Clippers,0,2,0,1,2-2,0-0,14:29,0,3,+0,4,0,0-0,1,1
Ryan Hollins,LA Clippers,0,1,0,1,0-1,0-0,9:02,3,0,+0,0,0,0-0,4,1
DeAndre Jordan,LA Clippers,0,3,0,6,1-3,0-0,24:29,2,3,+0,2,0,0-0,8,2
Blake Griffin,LA Clippers,1,2,0,2,5-12,6-7,32:52,0,5,+0,16,0,0-0,2,2
Eric Bledsoe,LA Clippers,3,0,0,1,0-4,0-0,14:28,0,3,+0,0,1,0-2,1,1
Keyon Dooling,Memphis,1,0,0,0,2-5,2-2,10:19,0,1,+0,7,0,1-2,0,1
Zach Randolph,Memphis,2,0,0,5,9-18,9-10,37:29,6,5,+0,27,1,0-0,11,1
Tayshaun Prince,Memphis,0,0,0,0,1-3,0-2,29:54,1,1,+0,2,2,0-0,1,1
Tony Allen,Memphis,1,0,0,7,4-11,4-4,30:45,2,3,+0,13,4,1-3,9,3
Mike Conley,Memphis,10,2,0,4,1-9,4-4,37:11,2,0,+0,6,3,0-4,6,0
Marc Gasol,Memphis,2,1,0,8,6-13,4-8,36:00,0,3,+0,16,0,0-0,8,0
Jerryd Bayless,Memphis,1,0,0,0,2-6,0-0,9:58,0,3,+0,5,0,1-3,0,3
Darrell Arthur,Memphis,1,0,0,3,2-5,1-2,17:03,3,3,+0,5,0,0-0,6,0
Ed Davis,Memphis,0,0,0,0,0-1,0-0,5:28,1,1,+0,0,0,0-0,1,0
Quincy Pondexter,Memphis,0,0,0,1,4-9,4-6,25:53,2,2,+0,13,1,1-4,3,1
