Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chauncey Billups,LA Clippers,4,0,0,1,2-5,2-2,16:26,0,1,+0,7,0,1-3,1,0
Lamar Odom,LA Clippers,2,2,0,2,0-3,0-0,21:49,0,5,+0,0,1,0-1,2,4
Jamal Crawford,LA Clippers,3,0,0,0,6-15,0-0,24:29,0,0,+0,13,2,1-5,0,3
Caron Butler,LA Clippers,1,0,0,1,3-8,1-1,24:31,0,1,+0,8,2,1-2,1,0
Matt Barnes,LA Clippers,1,0,0,2,4-9,0-0,23:29,2,4,+0,10,2,2-3,4,0
Willie Green,LA Clippers,0,0,0,1,2-5,0-0,7:05,0,0,+0,4,1,0-0,1,0
Chris Paul,LA Clippers,2,0,0,0,1-5,0-0,19:36,1,2,+0,3,0,1-1,1,3
Ronny Turiaf,LA Clippers,1,1,0,1,0-1,2-2,7:05,1,1,+0,2,0,0-0,2,0
Ryan Hollins,LA Clippers,0,1,0,5,2-2,1-1,20:36,3,4,+0,5,0,0-0,8,2
DeAndre Jordan,LA Clippers,0,1,0,3,7-11,3-7,22:23,3,2,+0,17,0,0-0,6,0
Blake Griffin,LA Clippers,3,0,0,5,5-7,3-4,24:07,0,4,+0,13,0,0-0,5,4
Eric Bledsoe,LA Clippers,6,0,0,3,2-6,2-2,28:24,1,0,+0,7,1,1-1,4,2
Rashard Lewis,Miami,0,0,0,6,3-7,3-4,26:58,1,2,+0,10,2,1-2,7,0
Mike Miller,Miami,0,0,0,3,0-4,0-0,23:28,1,0,+0,0,0,0-3,4,0
Shane Battier,Miami,1,0,0,1,4-5,0-0,21:02,0,2,+0,12,0,4-5,1,1
Chris Andersen,Miami,2,0,0,1,1-4,6-8,18:01,3,1,+0,8,2,0-0,4,2
LeBron James,Miami,6,2,0,4,9-11,8-11,30:59,1,3,+0,30,0,4-5,5,5
Dwyane Wade,Miami,7,0,0,4,8-16,4-6,31:23,2,2,+0,20,4,0-2,6,2
James Jones,Miami,0,0,0,0,1-3,0-0,7:05,0,2,+0,3,0,1-2,0,0
Udonis Haslem,Miami,0,0,0,6,3-3,0-0,17:33,0,3,+0,6,0,0-0,6,0
Joel Anthony,Miami,0,2,0,1,0-0,0-0,12:26,0,3,+0,0,0,0-0,1,0
Mario Chalmers,Miami,3,0,0,2,5-9,3-3,24:42,0,2,+0,18,3,5-8,2,1
Jarvis Varnado,Miami,1,0,0,0,0-1,0-0,3:05,0,0,+0,0,0,0-0,0,0
Norris Cole,Miami,2,0,0,0,2-5,0-0,23:18,0,1,+0,4,0,0-0,0,2
