Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Byron Mullens,LA Clippers,0,0,0,3,5-8,1-2,26:32,1,4,+0,15,1,4-7,4,1
Jared Dudley,LA Clippers,2,0,0,2,5-7,0-0,26:08,1,4,+0,12,1,2-2,3,3
DeAndre Jordan,LA Clippers,2,5,0,7,5-7,1-5,31:11,4,3,+0,11,0,0-0,11,4
Willie Green,LA Clippers,3,0,0,2,6-13,3-4,39:51,1,3,+0,15,0,0-2,3,1
Chris Paul,LA Clippers,9,0,0,3,9-16,4-6,31:27,2,4,+0,24,2,2-5,5,5
Jamal Crawford,LA Clippers,2,1,0,5,4-14,5-8,33:01,0,2,+0,13,0,0-3,5,1
Darren Collison,LA Clippers,3,0,0,3,3-7,1-1,22:45,0,0,+0,8,1,1-2,3,1
Ryan Hollins,LA Clippers,1,1,0,3,1-1,0-0,14:11,1,4,+0,2,0,0-0,4,3
Louis Amundson,LA Clippers,0,0,0,1,1-1,0-0,8:41,0,4,+0,2,1,0-0,1,1
Brandon Davies,LA Clippers,0,0,0,2,0-0,0-0,6:13,1,1,+0,0,0,0-0,3,1
Miles Plumlee,Phoenix,0,0,0,4,3-5,0-0,21:46,0,1,+0,6,0,0-0,4,0
James Nunnally,Phoenix,0,0,0,0,1-3,0-0,10:02,0,0,+0,3,0,1-2,0,1
Marcin Gortat,Phoenix,1,0,0,4,6-13,0-1,24:00,1,1,+0,12,0,0-0,5,1
Goran Dragic,Phoenix,2,0,0,0,8-12,0-0,28:33,2,4,+0,20,0,4-4,2,4
Eric Bledsoe,Phoenix,7,0,0,0,3-6,2-2,28:06,0,3,+0,8,4,0-2,0,4
Markieff Morris,Phoenix,0,0,0,1,3-8,4-6,21:23,4,1,+0,10,1,0-0,5,1
P.J. Tucker,Phoenix,0,1,0,5,0-4,2-2,19:54,1,4,+0,2,0,0-1,6,0
Marcus Morris,Phoenix,1,0,0,0,3-4,0-0,17:04,1,1,+0,7,0,1-2,1,2
Channing Frye,Phoenix,0,0,0,3,4-8,0-0,16:51,0,3,+0,11,0,3-7,3,3
Archie Goodwin,Phoenix,1,0,0,2,1-4,0-0,15:37,0,2,+0,2,1,0-2,2,2
Gerald Green,Phoenix,0,1,0,1,3-5,2-2,12:00,0,3,+0,8,1,0-0,1,1
Shannon Brown,Phoenix,1,0,0,1,0-2,2-2,8:16,0,0,+0,2,0,0-0,1,0
Ish Smith,Phoenix,2,0,0,1,0-3,0-0,7:54,0,0,+0,0,0,0-2,1,0
Kendall Marshall,Phoenix,2,0,0,1,1-2,0-2,5:28,0,1,+0,3,1,1-1,1,0
Viacheslav Kravtsov,Phoenix,3,0,0,1,1-1,0-0,3:06,1,0,+0,2,0,0-0,2,0
