Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Chauncey Billups,LA Clippers,0,0,0,3,5-8,4-4,18:32,1,3,+0,17,0,3-6,4,3
Lamar Odom,LA Clippers,2,1,0,7,2-4,0-0,17:26,1,2,+0,4,1,0-0,8,0
Jamal Crawford,LA Clippers,6,0,0,1,9-16,0-0,30:30,0,0,+0,24,2,6-8,1,1
Caron Butler,LA Clippers,0,0,0,2,4-8,0-0,22:19,0,3,+0,11,1,3-4,2,1
Matt Barnes,LA Clippers,1,0,0,3,6-12,0-0,24:46,2,2,+0,12,0,0-2,5,0
Chris Paul,LA Clippers,11,0,0,3,11-20,3-5,35:20,1,2,+0,25,1,0-3,4,0
Ryan Hollins,LA Clippers,0,0,0,1,0-2,4-4,18:23,2,5,+0,4,0,0-0,3,1
DeAndre Jordan,LA Clippers,0,2,0,7,4-7,0-3,29:26,3,1,+0,8,0,0-0,10,0
Blake Griffin,LA Clippers,2,0,0,3,3-10,1-2,30:37,1,2,+0,7,0,0-0,4,4
Eric Bledsoe,LA Clippers,3,0,0,3,0-1,0-0,12:40,0,0,+0,0,0,0-1,3,3
John Salmons,Sacramento,1,1,0,2,1-4,0-0,30:00,1,0,+0,2,0,0-2,3,2
Travis Outlaw,Sacramento,4,0,0,2,5-10,7-9,27:10,0,2,+0,17,0,0-3,2,2
Jason Thompson,Sacramento,0,0,0,5,3-7,2-2,25:34,1,4,+0,8,2,0-0,6,0
Marcus Thornton,Sacramento,3,0,0,1,8-20,0-0,37:01,1,1,+0,21,1,5-12,2,0
DeMarcus Cousins,Sacramento,3,3,0,18,14-24,8-11,41:23,4,4,+0,36,0,0-0,22,3
Cole Aldrich,Sacramento,0,0,0,2,1-2,0-0,3:42,0,0,+0,2,0,0-0,2,0
Patrick Patterson,Sacramento,2,0,0,1,2-3,0-0,25:21,2,4,+0,5,0,1-1,3,0
Jimmer Fredette,Sacramento,0,0,0,0,1-2,0-1,6:52,0,1,+0,2,0,0-1,0,1
Isaiah Thomas,Sacramento,10,0,0,1,5-17,2-2,42:57,3,4,+0,15,2,3-7,4,3
