Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Grant Hill,LA Clippers,0,0,0,5,2-3,0-3,22:57,0,1,+0,4,0,0-0,5,3
Lamar Odom,LA Clippers,1,0,0,2,1-1,0-0,17:40,0,0,+0,2,2,0-0,2,0
Jamal Crawford,LA Clippers,5,1,0,1,5-17,3-5,32:02,0,0,+0,14,0,1-7,1,2
Caron Butler,LA Clippers,1,0,0,7,3-12,4-4,36:39,1,3,+0,12,1,2-5,8,0
Willie Green,LA Clippers,0,0,0,0,1-5,0-0,16:16,0,3,+0,2,1,0-4,0,0
Ronny Turiaf,LA Clippers,0,0,0,0,0-1,1-2,12:16,0,1,+0,1,1,0-0,0,2
Ryan Hollins,LA Clippers,0,0,0,0,1-2,1-1,7:48,1,0,+0,3,0,0-0,1,0
DeAndre Jordan,LA Clippers,0,1,0,5,4-6,0-2,26:28,4,3,+0,8,0,0-0,9,1
Blake Griffin,LA Clippers,2,0,0,7,4-11,9-12,34:11,2,3,+0,17,0,0-0,9,3
Eric Bledsoe,LA Clippers,3,2,0,1,4-14,2-2,33:43,1,2,+0,10,1,0-3,2,3
Amir Johnson,Toronto,3,1,0,11,7-9,5-8,37:24,5,5,+0,19,1,0-0,16,2
Alan Anderson,Toronto,3,0,0,1,0-4,0-0,13:23,0,2,+0,0,1,0-3,1,0
John Lucas III,Toronto,1,0,0,1,6-9,0-0,18:44,0,1,+0,17,0,5-7,1,2
Rudy Gay,Toronto,1,1,0,3,8-16,1-2,32:45,0,3,+0,20,1,3-6,3,2
Kyle Lowry,Toronto,8,1,0,4,1-6,0-0,32:16,1,2,+0,3,2,1-4,5,0
Aaron Gray,Toronto,4,0,0,8,3-6,1-2,25:13,4,3,+0,7,0,0-0,12,1
DeMar DeRozan,Toronto,7,1,0,2,8-17,1-1,34:23,0,0,+0,19,1,2-3,2,2
Landry Fields,Toronto,0,2,0,1,3-4,1-2,15:15,0,0,+0,8,1,1-1,1,0
Jonas Valanciunas,Toronto,0,0,0,2,0-1,0-0,12:57,1,5,+0,0,0,0-0,3,2
Terrence Ross,Toronto,3,0,0,0,2-8,0-0,15:25,0,3,+0,4,0,0-2,0,1
Quincy Acy,Toronto,0,0,0,1,0-1,1-2,2:15,0,1,+0,1,0,0-0,1,0
