Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Jared Dudley,LA Clippers,0,0,0,0,2-4,1-1,24:50,0,4,+0,6,0,1-2,0,1
Blake Griffin,LA Clippers,1,0,0,4,6-10,0-0,18:10,0,2,+0,12,0,0-0,4,0
DeAndre Jordan,LA Clippers,0,6,0,5,6-7,2-3,21:46,2,2,+0,14,0,0-0,7,1
Chris Paul,LA Clippers,10,0,0,6,3-6,0-0,23:32,0,3,+0,6,2,0-1,6,5
Willie Green,LA Clippers,2,0,0,4,4-6,0-0,22:37,0,2,+0,9,1,1-1,4,1
Darren Collison,LA Clippers,10,0,0,4,4-6,0-0,29:23,1,2,+0,9,2,1-1,5,2
Antawn Jamison,LA Clippers,0,0,0,1,3-6,0-0,17:21,0,1,+0,7,0,1-3,1,0
Byron Mullens,LA Clippers,1,0,0,4,5-10,2-4,15:57,0,1,+0,15,1,3-7,4,1
Brandon Davies,LA Clippers,1,0,0,2,3-6,0-0,15:37,0,2,+0,9,0,3-4,2,1
Maalik Wayns,LA Clippers,1,0,0,1,3-6,2-2,15:29,0,5,+0,9,0,1-2,1,2
Jamal Crawford,LA Clippers,2,0,0,2,2-4,0-0,13:29,0,0,+0,4,0,0-1,2,1
Ryan Hollins,LA Clippers,0,0,0,2,1-3,1-2,12:00,1,0,+0,3,1,0-0,3,0
Louis Amundson,LA Clippers,1,0,0,0,1-4,1-2,9:49,1,0,+0,3,0,0-0,1,0
Gordon Hayward,Utah,5,0,0,3,4-12,0-0,25:46,1,0,+0,9,0,1-2,4,2
Derrick Favors,Utah,1,3,0,1,1-7,0-0,20:10,4,4,+0,2,0,0-0,5,3
Enes Kanter,Utah,0,0,0,2,2-8,0-0,19:22,4,0,+0,4,1,0-0,6,0
Alec Burks,Utah,1,0,0,0,4-9,3-4,19:50,1,2,+0,12,3,1-3,1,1
Trey Burke,Utah,4,0,0,1,1-6,0-0,14:14,0,1,+0,2,0,0-1,1,2
Jeremy Evans,Utah,0,3,0,2,1-7,0-0,21:51,1,1,+0,2,0,0-0,3,1
Richard Jefferson,Utah,0,0,0,7,5-9,1-3,21:14,1,0,+0,13,0,2-3,8,2
John Lucas III,Utah,0,0,0,2,4-7,1-2,19:55,1,1,+0,11,0,2-4,3,3
Dominic McGuire,Utah,0,1,0,1,1-1,2-4,14:30,0,2,+0,4,1,0-0,1,0
Andris Biedrins,Utah,2,0,0,3,1-2,0-0,12:50,1,0,+0,2,1,0-0,4,0
Ian Clark,Utah,0,0,0,1,3-5,0-0,12:00,0,0,+0,6,0,0-1,1,2
Brian Cook,Utah,0,1,0,1,2-5,0-0,12:00,0,2,+0,5,0,1-3,1,1
Scott Machado,Utah,4,0,0,2,0-3,0-0,12:00,0,1,+0,0,0,0-2,2,1
Justin Holiday,Utah,1,0,0,0,0-1,0-0,7:14,0,0,+0,0,1,0-0,0,0
Mike Harris,Utah,1,0,0,0,1-1,0-0,7:04,0,0,+0,2,0,0-0,0,0
