Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Steve Nash,LA Lakers,5,0,0,1,4-9,0-0,27:44,0,0,+0,9,0,1-2,1,0
Kobe Bryant,LA Lakers,0,0,0,4,9-15,9-9,29:41,3,2,+0,27,0,0-1,7,4
Antawn Jamison,LA Lakers,1,1,0,1,4-9,2-4,21:43,1,2,+0,11,0,1-3,2,0
Metta World Peace,LA Lakers,1,0,0,3,2-13,1-2,30:03,2,1,+0,5,1,0-5,5,1
Steve Blake,LA Lakers,3,0,0,3,2-5,2-4,17:11,0,0,+0,7,0,1-1,3,3
Dwight Howard,LA Lakers,1,0,0,6,4-8,1-6,28:14,3,6,+0,9,0,0-0,9,4
Chris Duhon,LA Lakers,1,0,0,1,1-2,0-0,14:49,0,1,+0,2,0,0-1,1,0
Earl Clark,LA Lakers,1,2,0,7,2-6,1-2,34:18,0,4,+0,5,0,0-2,7,0
Jodie Meeks,LA Lakers,0,0,0,0,5-12,2-2,20:56,3,3,+0,13,1,1-5,3,0
Devin Ebanks,LA Lakers,0,0,0,2,2-6,0-0,5:07,1,0,+0,5,0,1-3,3,0
Darius Morris,LA Lakers,2,0,0,0,0-0,0-0,5:07,0,0,+0,0,0,0-0,0,0
Robert Sacre,LA Lakers,1,0,0,2,1-2,0-1,5:07,0,0,+0,2,0,0-0,2,0
Kevin Garnett,Boston,4,0,0,3,6-10,3-4,22:56,2,2,+0,15,3,0-0,5,2
Paul Pierce,Boston,6,1,0,6,10-17,3-4,29:41,1,3,+0,24,0,1-4,7,2
Jason Terry,Boston,3,0,0,3,5-6,3-5,27:57,1,1,+0,15,1,2-2,4,1
Jason Collins,Boston,1,0,0,1,1-1,0-0,5:26,0,3,+0,2,1,0-0,1,0
Chris Wilcox,Boston,0,0,0,5,3-4,2-4,18:11,4,5,+0,8,1,0-0,9,1
Leandro Barbosa,Boston,3,0,0,4,0-6,0-0,21:08,1,2,+0,0,1,0-1,5,0
Brandon Bass,Boston,1,0,0,3,4-5,0-0,25:18,1,3,+0,8,1,0-0,4,0
Jeff Green,Boston,1,1,0,3,6-13,6-6,29:13,0,2,+0,19,0,1-1,3,1
Courtney Lee,Boston,3,1,0,5,6-12,0-0,22:21,0,2,+0,13,0,1-2,5,1
Avery Bradley,Boston,3,1,0,3,4-11,2-2,32:52,2,3,+0,10,2,0-1,5,1
Fab Melo,Boston,0,1,0,0,1-2,0-0,4:58,0,2,+0,2,0,0-0,0,0
