Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ryan Kelly,LA Lakers,2,0,0,4,4-9,4-4,34:33,3,5,-6,13,0,1-4,7,1
Wesley Johnson,LA Lakers,0,0,0,1,0-4,1-2,14:23,0,1,+5,1,0,0-3,1,1
Pau Gasol,LA Lakers,1,5,0,14,8-15,4-5,36:41,5,3,-4,20,3,0-1,19,5
Jodie Meeks,LA Lakers,7,0,1,3,4-10,6-6,43:34,0,2,+6,16,2,2-4,3,2
Kendall Marshall,LA Lakers,8,0,0,2,1-4,0-0,39:42,0,1,+3,3,2,1-4,2,4
Nick Young,LA Lakers,1,0,1,5,11-23,6-7,42:52,0,3,-10,31,2,3-6,5,4
Manny Harris,LA Lakers,2,0,3,6,2-9,0-0,21:23,0,2,-11,5,1,1-3,6,2
Jordan Hill,LA Lakers,0,1,0,3,3-4,1-2,16:19,0,2,+2,7,0,0-0,3,1
Robert Sacre,LA Lakers,1,3,0,0,2-5,0-0,15:33,1,1,+5,4,1,0-0,1,1
Mike Dunleavy,Chicago,4,1,1,3,6-12,0-0,29:38,0,2,-4,12,3,0-3,3,1
Carlos Boozer,Chicago,4,0,2,4,4-16,3-4,28:01,2,2,+5,11,0,0-0,6,0
Joakim Noah,Chicago,6,0,1,14,6-16,5-8,41:32,7,5,+10,17,2,0-0,21,4
Jimmy Butler,Chicago,5,1,2,6,6-19,1-2,49:41,5,2,+2,13,4,0-4,11,3
Kirk Hinrich,Chicago,3,0,0,2,2-4,0-0,19:16,0,3,+5,4,1,0-1,2,3
D.J. Augustin,Chicago,4,0,0,3,10-16,2-3,37:03,1,1,-3,27,1,5-7,4,3
Taj Gibson,Chicago,0,2,2,2,3-11,6-7,32:01,4,3,-3,12,2,0-0,6,1
Tony Snell,Chicago,0,1,1,1,2-7,0-0,23:22,0,0,+6,6,0,2-6,1,0
Nazr Mohammed,Chicago,0,0,0,1,0-1,0-0,4:27,0,0,-8,0,0,0-0,1,0
