Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Wesley Johnson,LA Lakers,0,0,1,1,5-11,3-3,34:14,0,2,-26,14,0,1-3,1,2
Pau Gasol,LA Lakers,5,0,2,7,5-15,0-0,25:01,1,3,-25,10,0,0-0,8,2
Robert Sacre,LA Lakers,0,0,1,4,5-8,4-6,18:21,3,2,-9,14,1,0-0,7,2
Kendall Marshall,LA Lakers,10,0,2,2,6-11,1-1,40:20,2,1,-17,16,0,3-4,4,2
Jodie Meeks,LA Lakers,0,0,1,3,2-10,7-8,32:13,0,4,-43,11,1,0-2,3,5
Nick Young,LA Lakers,0,1,2,6,3-14,5-5,32:03,1,3,-13,11,0,0-5,7,3
Jordan Hill,LA Lakers,1,0,2,4,0-3,0-0,19:46,2,3,-25,0,0,0-0,6,1
Chris Kaman,LA Lakers,0,0,1,5,2-6,2-2,19:24,1,3,-18,6,0,0-0,6,4
Ryan Kelly,LA Lakers,2,0,1,4,1-6,3-3,18:38,1,5,-4,5,0,0-2,5,0
Blake Griffin,LA Clippers,4,2,0,10,12-15,9-11,29:48,2,2,+45,33,4,0-0,12,4
Jared Dudley,LA Clippers,2,0,0,2,2-4,0-0,23:51,0,3,+19,5,2,1-2,2,1
DeAndre Jordan,LA Clippers,1,7,0,8,5-9,3-4,30:58,2,2,+41,13,2,0-0,10,0
Darren Collison,LA Clippers,7,1,0,4,9-12,0-0,31:10,1,0,+42,20,1,2-3,5,1
J.J. Redick,LA Clippers,2,0,0,3,8-15,2-2,22:55,0,0,+24,19,0,1-4,3,0
Jamal Crawford,LA Clippers,3,0,1,2,3-13,3-4,24:33,4,3,+17,11,1,2-4,6,0
Matt Barnes,LA Clippers,1,0,0,4,2-8,3-4,19:57,2,2,+18,7,1,0-3,6,0
Ryan Hollins,LA Clippers,0,2,0,3,1-1,3-6,16:34,2,5,-5,5,1,0-0,5,0
Darius Morris,LA Clippers,0,0,0,1,1-3,0-0,12:23,0,1,-13,2,1,0-2,1,0
Willie Green,LA Clippers,3,0,0,1,1-3,0-0,8:58,0,0,+2,3,0,1-1,1,0
Antawn Jamison,LA Clippers,0,1,0,1,0-5,2-2,6:46,0,1,+2,2,1,0-3,1,1
Byron Mullens,LA Clippers,0,0,0,2,0-3,1-2,6:04,0,1,-6,1,0,0-1,2,1
Maalik Wayns,LA Clippers,1,0,0,2,1-1,0-0,6:04,0,3,-6,2,2,0-0,2,0
