Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Wesley Johnson,LA Lakers,6,1,0,3,3-8,1-1,31:42,2,1,+2,7,1,0-3,5,1
Jordan Hill,LA Lakers,0,0,0,2,1-2,0-0,7:31,0,4,-4,2,0,0-0,2,1
Pau Gasol,LA Lakers,2,3,1,9,9-12,3-5,32:38,0,1,+2,21,0,0-0,9,2
Jodie Meeks,LA Lakers,0,0,0,2,5-10,0-0,33:45,0,1,+3,13,2,3-8,2,1
Kobe Bryant,LA Lakers,4,1,1,4,9-18,2-2,32:38,1,1,+2,21,1,1-1,5,4
Nick Young,LA Lakers,1,1,0,3,6-11,3-3,33:33,0,2,+2,18,1,3-6,3,1
Shawne Williams,LA Lakers,2,0,0,4,2-5,0-0,30:26,1,2,+14,4,0,0-1,5,2
Xavier Henry,LA Lakers,1,1,0,3,2-8,1-2,19:40,0,3,+1,5,2,0-3,3,2
Robert Sacre,LA Lakers,0,3,0,3,0-1,5-6,18:07,0,3,-2,5,1,0-0,3,0
Zach Randolph,Memphis,5,0,4,10,7-22,4-4,34:53,6,3,-8,18,2,0-0,16,1
Tayshaun Prince,Memphis,0,0,0,1,0-1,0-0,9:09,0,1,-9,0,0,0-0,1,1
Kosta Koufos,Memphis,0,0,1,2,1-5,0-0,13:03,4,1,-6,2,0,0-0,6,1
Tony Allen,Memphis,5,1,0,4,6-13,4-6,30:20,3,1,+3,16,2,0-2,7,1
Jerryd Bayless,Memphis,2,0,0,2,6-13,1-1,28:14,0,2,-10,13,1,0-1,2,0
Mike Miller,Memphis,5,0,1,2,4-10,0-0,29:50,0,0,+0,9,1,1-5,2,2
Jon Leuer,Memphis,1,1,1,5,5-9,0-0,27:28,2,1,+0,13,1,3-4,7,2
Ed Davis,Memphis,0,0,1,1,4-6,1-2,21:43,3,3,+8,9,1,0-0,4,3
Jamaal Franklin,Memphis,1,0,2,2,0-5,0-0,21:19,0,3,+0,0,0,0-2,2,1
Nick Calathes,Memphis,1,0,0,2,4-6,1-2,19:47,0,3,+6,10,2,1-1,2,2
James Johnson,Memphis,0,0,0,0,0-1,2-2,4:16,0,0,-4,2,0,0-1,0,0
