Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Steve Nash,LA Lakers,6,1,0,1,5-7,5-5,23:21,2,2,+0,16,2,1-2,3,4
Kobe Bryant,LA Lakers,3,0,0,2,6-17,18-20,36:28,0,2,+0,30,0,0-3,2,6
Antawn Jamison,LA Lakers,0,1,0,5,5-10,2-2,23:18,2,1,+0,13,0,1-2,7,1
Pau Gasol,LA Lakers,3,1,0,7,6-12,0-0,31:53,2,4,+0,12,1,0-1,9,4
Steve Blake,LA Lakers,3,0,0,0,2-8,0-0,30:58,0,3,+0,6,2,2-6,0,0
Dwight Howard,LA Lakers,2,3,0,10,6-8,3-10,38:19,5,5,+0,15,0,0-0,15,2
Earl Clark,LA Lakers,1,0,0,2,0-3,0-0,16:51,0,3,+0,0,0,0-0,2,0
Jodie Meeks,LA Lakers,1,0,0,2,4-12,2-2,38:52,0,0,+0,11,2,1-6,2,1
Samuel Dalembert,Milwaukee,0,0,0,3,1-4,0-0,9:25,1,0,+0,2,0,0-0,4,0
Mike Dunleavy,Milwaukee,0,0,0,2,0-2,2-2,16:07,0,2,+0,2,0,0-0,2,0
Marquis Daniels,Milwaukee,1,0,0,0,7-12,1-1,30:28,1,4,+0,16,3,1-1,1,0
Ersan Ilyasova,Milwaukee,2,1,0,3,8-17,2-2,30:40,1,1,+0,20,4,2-5,4,1
Monta Ellis,Milwaukee,9,0,0,6,8-16,2-2,35:59,1,3,+0,18,2,0-2,7,3
J.J. Redick,Milwaukee,0,1,0,2,3-7,0-0,22:16,0,1,+0,7,0,1-4,2,1
Luc Richard Mbah a Moute,Milwaukee,0,0,0,4,1-5,0-0,13:05,1,3,+0,2,1,0-1,5,3
Brandon Jennings,Milwaukee,7,0,0,1,7-14,3-3,32:29,1,1,+0,20,0,3-6,2,2
Ekpe Udoh,Milwaukee,0,0,0,0,1-3,1-2,12:32,3,3,+0,3,1,0-0,3,0
Larry Sanders,Milwaukee,1,2,0,7,8-11,5-10,29:36,6,5,+0,21,1,0-0,13,0
Ish Smith,Milwaukee,2,0,0,0,1-2,0-0,7:23,0,2,+0,2,0,0-0,0,2
