Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Steve Nash,LA Lakers,9,0,0,1,5-11,4-4,37:01,0,4,+0,16,1,2-3,1,3
Kobe Bryant,LA Lakers,5,1,0,4,10-32,3-3,42:53,0,1,+0,26,2,3-12,4,6
Antawn Jamison,LA Lakers,0,0,0,4,2-6,0-0,30:15,1,2,+0,5,0,1-4,5,1
Metta World Peace,LA Lakers,0,0,0,2,3-9,1-1,25:45,1,0,+0,9,3,2-6,3,0
Pau Gasol,LA Lakers,2,1,0,2,10-15,5-6,32:32,3,1,+0,25,0,0-0,5,1
Dwight Howard,LA Lakers,1,1,0,2,1-3,3-4,17:12,0,1,+0,5,0,0-0,2,1
Chris Duhon,LA Lakers,1,0,0,2,0-1,1-1,10:59,0,1,+0,1,0,0-1,2,0
Earl Clark,LA Lakers,2,1,0,8,6-10,1-2,34:33,6,3,+0,14,1,1-1,14,0
Darius Morris,LA Lakers,0,0,0,0,1-1,0-0,5:08,0,1,+0,2,0,0-0,0,1
Robert Sacre,LA Lakers,0,0,0,0,0-0,0-0,3:42,1,1,+0,0,0,0-0,1,0
Amir Johnson,Toronto,3,1,0,5,4-6,1-2,21:39,3,5,+0,9,0,0-0,8,1
Jose Calderon,Toronto,9,0,0,2,9-15,3-3,30:05,0,4,+0,22,0,1-4,2,3
Alan Anderson,Toronto,8,0,0,2,5-13,1-2,28:29,0,0,+0,14,3,3-7,2,3
Kyle Lowry,Toronto,2,0,0,3,2-3,2-3,17:55,1,2,+0,8,3,2-3,4,0
Aaron Gray,Toronto,1,1,0,1,2-5,1-1,15:45,1,4,+0,5,0,0-0,2,1
DeMar DeRozan,Toronto,3,0,0,3,4-9,0-0,30:23,0,3,+0,8,0,0-1,3,5
Ed Davis,Toronto,0,0,0,6,9-13,0-2,31:13,2,1,+0,18,0,0-0,8,1
Landry Fields,Toronto,0,0,0,7,8-11,2-4,37:45,3,1,+0,18,4,0-1,10,1
Terrence Ross,Toronto,1,0,0,1,2-7,0-0,18:26,0,1,+0,4,0,0-4,1,0
Quincy Acy,Toronto,0,0,0,0,1-2,0-0,8:20,0,1,+0,2,1,0-0,0,0
