Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zach Randolph,Memphis,2,0,4,5,5-16,3-4,35:12,3,4,-6,13,1,0-0,8,2
Tayshaun Prince,Memphis,1,0,0,4,4-10,1-2,31:50,0,1,+1,9,0,0-0,4,1
Kosta Koufos,Memphis,1,3,1,11,3-11,1-2,35:20,2,4,+10,7,1,0-0,13,1
Mike Conley,Memphis,9,0,1,1,6-14,2-2,32:55,0,0,+2,14,2,0-3,1,0
Tony Allen,Memphis,2,0,1,2,5-8,2-2,27:10,0,2,+0,12,3,0-0,2,0
Ed Davis,Memphis,1,3,0,4,3-5,5-6,24:11,3,2,+13,11,0,0-0,7,0
Jerryd Bayless,Memphis,1,0,0,2,6-10,9-11,21:03,1,2,+9,22,0,1-3,3,1
Mike Miller,Memphis,0,0,0,3,3-5,0-0,17:14,0,1,+1,8,0,2-3,3,2
Nick Calathes,Memphis,7,0,0,0,1-1,2-2,15:05,0,2,+5,4,0,0-0,0,1
Jeff Green,Boston,1,0,1,5,9-19,7-8,38:44,2,2,+3,26,1,1-5,7,0
Brandon Bass,Boston,1,4,0,11,2-6,2-2,31:28,2,2,+1,6,0,0-0,13,2
Jared Sullinger,Boston,3,0,0,7,10-18,1-1,35:00,5,5,+6,23,0,2-3,12,4
Jordan Crawford,Boston,7,0,0,1,2-8,0-0,35:55,0,3,-9,5,0,1-4,1,2
Avery Bradley,Boston,0,2,1,0,7-13,0-0,32:25,1,2,+8,16,0,2-5,1,4
Gerald Wallace,Boston,2,0,2,1,1-5,0-2,22:51,1,1,-10,2,0,0-0,2,2
Kris Humphries,Boston,0,1,0,3,4-10,0-0,16:21,3,1,-10,8,0,0-0,6,0
Vitor Faverani,Boston,0,0,2,1,3-8,0-0,13:10,2,0,-9,7,0,1-2,3,0
Courtney Lee,Boston,0,0,0,0,0-1,0-0,9:24,0,2,-10,0,0,0-0,0,1
Phil Pressey,Boston,0,0,0,0,0-1,0-0,4:42,1,2,-5,0,0,0-1,1,0
