Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Miller,Memphis,1,0,0,2,3-4,0-0,21:43,0,3,+0,8,0,2-2,2,3
Zach Randolph,Memphis,2,0,0,2,2-5,0-0,17:23,0,5,+0,4,1,0-0,2,2
Kosta Koufos,Memphis,1,1,0,2,2-6,1-2,18:25,0,3,+0,5,2,0-0,2,3
Jerryd Bayless,Memphis,3,0,0,1,5-11,3-3,29:28,2,2,+0,15,2,2-5,3,2
Mike Conley,Memphis,1,0,0,2,2-8,4-4,20:39,0,3,+0,8,0,0-2,2,1
Jamaal Franklin,Memphis,1,0,0,2,2-5,1-1,26:22,1,2,+0,6,0,1-3,3,1
Nick Calathes,Memphis,8,0,0,0,3-6,3-6,26:02,2,5,+0,9,0,0-0,2,3
Jon Leuer,Memphis,4,0,0,4,4-9,1-2,23:37,1,2,+0,9,2,0-0,5,2
Ed Davis,Memphis,0,1,0,4,4-6,5-7,22:13,1,4,+0,13,0,0-0,5,1
Tony Gaffney,Memphis,0,0,0,2,2-8,0-0,19:46,2,1,+0,4,0,0-2,4,1
Willie Reed,Memphis,0,0,0,1,1-2,2-2,8:24,0,0,+0,4,0,0-0,1,0
Melvin Ely,Memphis,0,1,0,0,1-2,0-2,5:58,0,1,+0,2,0,0-0,0,0
Carlos Boozer,Chicago,2,0,0,2,7-12,2-2,26:20,2,3,+0,16,0,0-0,4,3
Luol Deng,Chicago,2,2,0,3,3-8,6-8,24:43,0,2,+0,13,1,1-2,3,1
Nazr Mohammed,Chicago,0,3,0,4,0-0,2-2,15:23,2,1,+0,2,0,0-0,6,2
Jimmy Butler,Chicago,1,0,0,2,3-7,3-4,26:25,1,1,+0,9,3,0-1,3,2
Derrick Rose,Chicago,3,0,0,2,3-8,6-10,23:01,2,1,+0,13,3,1-1,4,1
Taj Gibson,Chicago,0,1,0,3,5-9,5-7,27:48,3,4,+0,15,1,0-0,6,2
Erik Murphy,Chicago,1,0,0,3,2-7,1-2,21:41,1,4,+0,5,0,0-1,4,0
Tony Snell,Chicago,3,0,0,3,1-3,1-2,21:35,0,3,+0,3,1,0-0,3,1
Mike Dunleavy,Chicago,1,0,0,3,2-5,0-0,18:28,1,2,+0,5,0,1-1,4,4
Kirk Hinrich,Chicago,2,1,0,1,4-6,5-6,18:14,0,2,+0,15,0,2-3,1,0
Marquis Teague,Chicago,2,0,0,0,2-3,0-0,6:45,0,0,+0,4,0,0-0,0,1
Mike James,Chicago,0,1,0,1,1-1,0-0,4:49,0,0,+0,2,0,0-0,1,0
Dexter Pittman,Chicago,0,0,0,2,2-5,0-0,4:49,2,3,+0,4,0,0-0,4,0
