Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zach Randolph,Memphis,2,0,2,6,6-16,2-3,36:57,2,4,-8,14,0,0-1,8,3
Tayshaun Prince,Memphis,0,0,0,3,3-6,0-0,28:24,0,0,+1,7,1,1-1,3,0
Marc Gasol,Memphis,5,4,0,8,3-11,2-2,39:41,1,2,+0,8,3,0-0,9,3
Nick Calathes,Memphis,6,0,0,5,7-9,1-2,39:12,0,5,+2,17,1,2-3,5,6
Courtney Lee,Memphis,3,0,0,3,4-15,2-2,38:00,0,1,+13,10,2,0-4,3,0
James Johnson,Memphis,1,0,2,3,4-12,7-7,24:19,1,2,-11,15,1,0-2,4,1
Mike Miller,Memphis,2,0,0,2,0-4,0-0,19:42,0,1,-8,0,0,0-2,2,0
Darius Morris,Memphis,3,0,1,1,2-4,0-0,14:15,2,0,-6,4,0,0-1,3,0
Kosta Koufos,Memphis,0,1,0,3,3-5,0-0,13:12,2,4,-10,6,0,0-0,5,1
Ed Davis,Memphis,0,1,0,3,1-4,0-0,10:37,1,1,-11,2,0,0-0,4,0
Jon Leuer,Memphis,0,0,0,0,0-0,0-0,0:41,0,1,-2,0,0,0-0,0,0
Luol Deng,Cleveland,0,0,0,4,4-9,0-0,32:14,1,1,-5,9,1,1-2,5,0
Tristan Thompson,Cleveland,2,1,0,3,2-8,0-2,29:09,0,5,+1,4,1,0-0,3,1
Anderson Varejao,Cleveland,5,1,0,12,2-6,0-2,43:23,2,1,+1,4,0,0-0,14,1
Kyrie Irving,Cleveland,6,1,0,4,9-17,6-8,40:22,1,3,-4,28,1,4-4,5,5
Jarrett Jack,Cleveland,1,0,2,3,1-4,0-0,14:43,0,0,-10,2,0,0-1,3,1
Dion Waiters,Cleveland,6,0,2,5,7-21,3-3,38:17,2,1,+18,18,2,1-5,7,2
Tyler Zeller,Cleveland,0,0,1,5,2-6,1-2,24:22,3,5,+17,5,0,0-0,8,0
C.J. Miles,Cleveland,0,1,0,1,5-11,1-1,23:48,0,2,+4,14,1,3-7,1,2
Matthew Dellavedova,Cleveland,3,1,0,0,2-2,0-0,12:38,0,0,+12,5,0,1-1,0,0
Anthony Bennett,Cleveland,1,0,1,1,1-4,0-0,6:04,1,2,+6,2,0,0-0,2,1
