Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zach Randolph,Memphis,2,0,2,8,11-18,6-6,35:44,3,3,+8,28,0,0-0,11,1
Tayshaun Prince,Memphis,1,1,0,6,3-9,0-0,27:39,0,1,+3,6,2,0-3,6,0
Marc Gasol,Memphis,8,3,1,7,6-15,6-6,41:31,1,2,+1,18,3,0-0,8,1
Mike Conley,Memphis,7,1,2,1,4-15,2-2,34:01,1,1,+3,11,1,1-5,2,2
Tony Allen,Memphis,2,0,0,6,6-6,0-0,22:17,0,1,-4,12,1,0-0,6,0
Mike Miller,Memphis,2,0,0,6,2-8,0-0,25:46,0,1,+5,4,0,0-4,6,1
Quincy Pondexter,Memphis,1,0,2,4,3-6,0-0,20:21,2,1,+0,6,0,0-1,6,2
Kosta Koufos,Memphis,2,0,1,2,2-6,0-0,18:43,3,3,-1,4,0,0-0,5,1
Jerryd Bayless,Memphis,2,0,0,1,0-2,0-0,13:59,0,0,+0,0,0,0-0,1,1
Jordan Hill,LA Lakers,2,3,0,4,5-8,2-3,30:12,1,6,-1,12,0,0-0,5,1
Wesley Johnson,LA Lakers,2,0,0,2,0-1,0-0,15:15,0,1,-7,0,1,0-0,2,2
Pau Gasol,LA Lakers,3,1,2,12,4-12,2-2,33:04,1,1,+0,10,0,0-1,13,1
Jodie Meeks,LA Lakers,0,0,0,3,10-16,0-1,37:56,0,2,+1,25,1,5-9,3,2
Steve Blake,LA Lakers,10,0,1,7,4-9,0-0,36:20,0,2,-9,9,2,1-4,7,1
Nick Young,LA Lakers,1,0,0,1,7-14,2-5,32:54,0,0,+6,18,1,2-4,1,0
Shawne Williams,LA Lakers,0,3,0,4,2-4,0-0,16:57,1,1,-1,6,1,2-4,5,0
Chris Kaman,LA Lakers,0,1,1,3,3-10,0-0,15:38,0,2,-6,6,0,0-0,3,0
Jordan Farmar,LA Lakers,6,0,1,0,0-4,0-0,14:51,0,2,+1,0,0,0-2,0,3
Xavier Henry,LA Lakers,1,0,0,0,0-2,0-0,6:53,1,0,+1,0,0,0-0,1,1
