Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zach Randolph,Memphis,1,0,0,5,6-16,2-4,37:01,4,4,+0,14,1,0-0,9,3
Tayshaun Prince,Memphis,4,1,0,1,2-6,0-0,35:08,0,1,+0,4,0,0-1,1,0
Tony Allen,Memphis,0,0,0,2,2-7,5-6,27:31,2,2,+0,9,0,0-0,4,1
Mike Conley,Memphis,8,0,0,4,6-13,0-0,34:09,0,4,+0,14,2,2-4,4,2
Marc Gasol,Memphis,4,1,0,7,8-13,8-8,35:57,2,4,+0,24,0,0-1,9,2
Jerryd Bayless,Memphis,3,0,0,3,2-4,0-0,16:40,1,0,+0,4,0,0-1,4,0
Darrell Arthur,Memphis,0,0,0,0,2-6,0-0,12:03,0,2,+0,4,0,0-0,0,1
Austin Daye,Memphis,0,1,0,2,2-7,0-0,10:24,1,3,+0,5,0,1-4,3,1
Ed Davis,Memphis,0,0,0,3,1-2,1-4,10:21,0,3,+0,3,0,0-0,3,1
Quincy Pondexter,Memphis,3,0,0,1,2-3,5-5,20:46,0,1,+0,10,1,1-2,1,1
Ray Allen,Miami,1,0,0,6,4-9,0-0,28:38,0,4,+0,10,0,2-5,6,0
Rashard Lewis,Miami,0,0,0,1,0-0,0-0,4:12,0,0,+0,0,0,0-0,1,0
Shane Battier,Miami,2,0,0,1,4-5,2-2,26:16,1,2,+0,14,0,4-5,2,0
Chris Andersen,Miami,0,1,0,4,1-2,2-2,15:28,0,3,+0,4,0,0-0,4,0
LeBron James,Miami,10,1,0,7,4-14,8-12,42:06,1,1,+0,18,2,2-4,8,1
Chris Bosh,Miami,1,0,0,6,6-12,1-2,32:31,0,2,+0,13,0,0-1,6,3
Dwyane Wade,Miami,8,1,0,2,9-16,4-6,35:42,2,2,+0,22,2,0-1,4,2
Udonis Haslem,Miami,0,0,0,1,2-5,0-0,16:01,1,1,+0,4,0,0-0,2,0
Joel Anthony,Miami,0,0,0,0,0-0,0-0,0:22,0,0,+0,0,0,0-0,0,0
Mario Chalmers,Miami,2,0,0,0,3-6,1-1,18:26,0,3,+0,9,1,2-3,0,1
Norris Cole,Miami,2,0,0,2,1-4,2-2,20:18,0,1,+0,4,2,0-0,2,0
