Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zach Randolph,Memphis,1,0,1,3,2-10,2-2,26:29,1,2,-10,6,0,0-0,4,2
Tayshaun Prince,Memphis,0,1,1,1,2-7,3-4,25:02,1,2,+6,8,1,1-3,2,0
Marc Gasol,Memphis,0,0,0,4,0-4,0-0,14:28,1,0,-10,0,0,0-0,5,2
Mike Conley,Memphis,5,1,0,6,6-13,1-2,35:05,1,3,+1,15,1,2-6,7,2
Courtney Lee,Memphis,0,0,0,0,3-7,2-2,26:26,0,2,-10,9,0,1-3,0,0
James Johnson,Memphis,5,6,2,4,7-13,0-0,28:23,2,2,+7,15,2,1-3,6,0
Kosta Koufos,Memphis,3,2,0,4,4-7,2-4,21:32,0,2,+8,10,1,0-0,4,1
Ed Davis,Memphis,1,0,0,5,7-8,0-2,21:13,4,1,+13,14,0,0-0,9,0
Mike Miller,Memphis,1,0,1,4,1-8,0-0,19:23,0,0,+7,2,2,0-3,4,0
Nick Calathes,Memphis,3,0,0,1,1-3,1-2,13:02,0,1,+4,3,0,0-1,1,2
Jamaal Franklin,Memphis,1,0,0,0,0-2,0-0,8:58,1,2,+9,0,0,0-1,1,0
Ersan Ilyasova,Milwaukee,3,0,2,9,2-11,0-0,29:03,4,4,+2,4,1,0-1,13,1
Giannis Antetokounmpo,Milwaukee,1,0,0,1,2-4,2-2,22:18,0,4,+6,6,0,0-2,1,2
Larry Sanders,Milwaukee,1,3,2,7,4-12,2-2,37:19,5,3,+5,10,0,0-1,12,1
Luke Ridnour,Milwaukee,9,0,1,6,4-8,0-0,42:38,0,3,-2,9,1,1-3,6,3
Brandon Knight,Milwaukee,4,0,1,2,10-17,2-2,40:29,0,0,+9,27,1,5-8,2,4
John Henson,Milwaukee,2,1,1,8,3-9,2-4,26:06,5,2,-12,8,1,0-0,13,2
Caron Butler,Milwaukee,2,1,1,2,5-12,0-0,18:30,0,1,+7,10,1,0-2,2,1
Khris Middleton,Milwaukee,0,0,1,1,1-6,0-0,12:07,1,1,-17,2,0,0-1,2,0
O.J. Mayo,Milwaukee,0,0,1,0,0-3,0-0,6:39,0,0,-14,0,0,0-2,0,0
Miroslav Raduljica,Milwaukee,0,0,0,0,0-0,1-2,4:51,0,1,-9,1,0,0-0,0,1
