Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Keyon Dooling,Memphis,0,0,0,0,0-1,2-2,8:48,0,0,+0,2,0,0-1,0,0
Zach Randolph,Memphis,2,0,0,11,8-17,12-16,41:07,3,3,+0,28,2,0-0,14,1
Tayshaun Prince,Memphis,1,0,0,4,3-13,2-2,31:01,2,3,+0,8,0,0-2,6,2
Tony Allen,Memphis,2,0,0,3,4-6,3-3,28:51,0,3,+0,11,2,0-1,3,2
Mike Conley,Memphis,11,0,0,7,5-18,3-3,39:12,1,2,+0,13,2,0-4,8,2
Marc Gasol,Memphis,0,4,0,6,5-13,0-0,40:59,1,2,+0,10,2,0-0,7,0
Jerryd Bayless,Memphis,2,0,0,4,2-9,3-3,20:10,0,2,+0,8,0,1-4,4,1
Darrell Arthur,Memphis,0,0,0,0,1-2,0-0,8:55,1,0,+0,2,0,0-0,1,0
Quincy Pondexter,Memphis,0,0,0,3,2-2,0-0,20:58,0,2,+0,6,0,2-2,3,1
Derek Fisher,Oklahoma City,3,0,0,5,3-11,0-0,31:06,0,5,+0,9,1,3-11,5,1
Nick Collison,Oklahoma City,2,1,0,3,2-5,0-0,16:00,2,5,+0,4,0,0-0,5,2
Kendrick Perkins,Oklahoma City,0,0,0,2,1-5,0-0,16:54,1,3,+0,2,1,0-0,3,2
Kevin Martin,Oklahoma City,1,0,0,2,3-6,4-4,30:27,0,0,+0,10,0,0-1,2,0
Thabo Sefolosha,Oklahoma City,2,0,0,1,2-5,0-0,19:22,3,1,+0,5,1,1-2,4,0
Kevin Durant,Oklahoma City,6,2,0,6,5-21,11-15,48:00,2,2,+0,21,0,0-4,8,7
Serge Ibaka,Oklahoma City,0,3,0,3,8-17,0-1,36:31,5,6,+0,17,0,1-2,8,1
Reggie Jackson,Oklahoma City,5,0,0,9,7-15,1-1,41:40,0,3,+0,16,0,1-5,9,0
