Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Tayshaun Prince,Memphis,3,0,0,4,6-12,0-0,28:21,0,1,+0,14,1,2-3,4,0
Tony Allen,Memphis,1,0,0,3,6-13,1-1,21:00,2,2,+0,13,1,0-2,5,0
Mike Conley,Memphis,4,1,0,2,5-9,1-1,25:25,0,3,+0,13,1,2-5,2,1
Marc Gasol,Memphis,11,1,0,3,5-6,2-2,35:30,2,0,+0,12,0,0-0,5,2
Jerryd Bayless,Memphis,3,0,0,3,2-6,1-1,25:01,1,0,+0,6,2,1-3,4,1
Darrell Arthur,Memphis,0,0,0,1,2-4,3-3,9:11,1,2,+0,7,0,0-0,2,1
Austin Daye,Memphis,0,0,0,2,2-4,0-0,5:14,0,2,+0,5,0,1-2,2,1
Ed Davis,Memphis,0,3,0,8,5-6,0-4,24:27,2,1,+0,10,2,0-0,10,2
Quincy Pondexter,Memphis,3,0,0,0,4-9,1-2,21:46,1,1,+0,12,0,3-6,1,0
Dexter Pittman,Memphis,0,0,0,1,1-4,0-1,9:58,2,1,+0,2,0,0-0,3,0
Jon Leuer,Memphis,1,0,0,1,3-4,0-0,16:54,3,2,+0,6,1,0-0,4,1
Tony Wroten,Memphis,5,0,0,0,3-6,0-0,17:13,0,4,+0,8,0,2-3,0,4
Al Harrington,Orlando,1,0,0,4,3-9,0-0,18:24,1,2,+0,7,1,1-4,5,2
Beno Udrih,Orlando,4,0,0,0,1-5,3-4,16:41,2,0,+0,5,1,0-1,2,2
Arron Afflalo,Orlando,3,0,0,2,2-6,8-8,30:13,0,2,+0,12,0,0-3,2,0
Nikola Vucevic,Orlando,2,0,0,3,3-7,0-0,23:08,1,0,+0,6,0,0-0,4,1
Tobias Harris,Orlando,1,1,0,2,3-14,0-0,22:40,1,3,+0,6,0,0-5,3,1
E'Twaun Moore,Orlando,6,0,0,3,4-10,4-4,33:43,2,3,+0,12,2,0-0,5,2
Maurice Harkless,Orlando,0,0,0,3,5-6,0-0,32:20,3,1,+0,11,0,1-1,6,2
Andrew Nicholson,Orlando,1,1,0,4,4-6,4-4,26:51,0,1,+0,12,0,0-0,4,2
Doron Lamb,Orlando,0,0,0,0,1-1,0-0,12:00,0,0,+0,2,1,0-0,0,0
Kyle O'Quinn,Orlando,1,1,0,4,0-4,2-4,12:00,1,1,+0,2,0,0-1,5,1
DeQuan Jones,Orlando,0,1,0,0,3-5,1-2,12:00,1,1,+0,7,1,0-0,1,1
