Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Zach Randolph,Memphis,0,0,0,7,4-8,2-2,28:11,0,3,+0,10,1,0-0,7,4
Tayshaun Prince,Memphis,2,0,0,5,4-9,0-0,34:53,1,0,+0,8,0,0-1,6,1
Tony Allen,Memphis,0,0,0,0,1-6,1-2,16:27,0,2,+0,3,3,0-0,0,2
Mike Conley,Memphis,7,0,0,3,7-14,8-8,40:16,1,2,+0,23,3,1-4,4,6
Jerryd Bayless,Memphis,7,0,0,5,5-17,4-4,27:32,1,2,+0,14,0,0-4,6,1
Darrell Arthur,Memphis,0,0,0,2,2-6,2-2,19:12,2,6,+0,6,0,0-0,4,1
Austin Daye,Memphis,1,1,0,2,2-3,0-0,15:34,0,3,+0,5,0,1-2,2,0
Ed Davis,Memphis,0,0,0,5,3-4,3-4,23:02,2,5,+0,9,0,0-0,7,0
Quincy Pondexter,Memphis,0,0,0,4,5-9,0-0,27:22,1,2,+0,14,1,4-5,5,1
Dexter Pittman,Memphis,0,0,0,0,0-0,0-0,0:38,0,0,+0,0,0,0-0,0,0
Jon Leuer,Memphis,0,0,0,1,1-1,0-0,6:53,1,0,+0,2,0,0-0,2,0
Emeka Okafor,Washington,0,0,0,6,9-15,3-4,30:41,3,2,+0,21,0,0-0,9,2
Cartier Martin,Washington,0,0,0,6,3-9,1-4,25:58,0,0,+0,9,1,2-5,6,2
Garrett Temple,Washington,3,0,0,1,3-8,0-0,34:45,0,3,+0,7,2,1-3,1,2
John Wall,Washington,8,1,0,7,13-22,19-24,44:33,0,2,+0,47,1,2-4,7,2
Kevin Seraphin,Washington,0,0,0,4,2-5,0-0,16:09,0,3,+0,4,1,0-0,4,0
Trevor Booker,Washington,2,1,0,2,2-3,3-6,27:14,2,1,+0,7,3,0-0,4,0
Jan Vesely,Washington,1,0,0,2,1-2,0-0,18:07,2,2,+0,2,0,0-0,4,1
Chris Singleton,Washington,3,2,0,4,3-8,4-6,42:33,3,4,+0,10,0,0-1,7,3
