Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ray Allen,Miami,1,0,0,3,2-6,2-2,30:10,2,0,+0,6,2,0-3,5,1
Shane Battier,Miami,0,2,0,3,2-5,0-0,16:29,1,2,+0,6,0,2-5,4,0
Chris Andersen,Miami,0,0,0,1,0-0,0-0,10:49,2,3,+0,0,0,0-0,3,2
LeBron James,Miami,12,2,0,6,16-29,4-6,42:15,1,3,+0,37,2,1-4,7,5
Chris Bosh,Miami,2,2,0,5,6-10,1-2,36:51,0,0,+0,13,0,0-1,5,1
Dwyane Wade,Miami,6,0,0,6,7-15,2-5,35:31,1,2,+0,16,3,0-0,7,2
Udonis Haslem,Miami,1,0,0,3,2-4,0-0,17:27,2,5,+0,4,0,0-0,5,0
Mario Chalmers,Miami,2,1,0,2,6-10,5-6,36:34,1,2,+0,21,2,4-5,3,2
Norris Cole,Miami,1,0,0,0,1-6,0-0,13:54,0,1,+0,2,2,0-2,0,1
Paul Pierce,Boston,8,1,0,7,6-11,3-6,39:48,1,2,+0,17,1,2-5,8,7
Jason Terry,Boston,4,0,0,2,4-6,1-1,24:21,0,5,+0,9,2,0-1,2,4
Chris Wilcox,Boston,0,0,0,4,0-1,0-0,17:55,0,4,+0,0,0,0-0,4,0
Brandon Bass,Boston,1,0,0,4,3-5,0-0,29:35,1,4,+0,6,1,0-0,5,1
Jeff Green,Boston,2,4,0,6,14-21,10-13,40:07,1,2,+0,43,2,5-7,7,2
Courtney Lee,Boston,4,0,0,3,6-10,0-0,40:15,0,4,+0,13,3,1-2,3,0
Avery Bradley,Boston,2,1,0,2,3-11,0-0,31:12,1,3,+0,7,0,1-2,3,4
Jordan Crawford,Boston,3,1,0,1,3-7,1-4,16:47,0,2,+0,8,0,1-4,1,2
