Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ray Allen,Miami,2,0,0,1,2-3,0-0,20:02,2,0,+0,6,2,2-3,3,2
Rashard Lewis,Miami,0,0,0,2,2-3,0-0,14:54,0,0,+0,6,1,2-3,2,0
Mike Miller,Miami,1,0,0,1,0-1,0-0,4:26,0,0,+0,0,0,0-1,1,0
Shane Battier,Miami,0,2,0,0,1-3,0-0,14:00,1,2,+0,3,0,1-2,1,0
Chris Andersen,Miami,0,1,0,2,1-4,1-1,9:46,3,3,+0,3,1,0-0,5,0
LeBron James,Miami,7,0,0,7,10-18,1-4,34:17,2,2,+0,24,2,3-4,9,4
Chris Bosh,Miami,0,0,0,2,7-14,2-2,36:20,2,1,+0,16,0,0-0,4,3
Dwyane Wade,Miami,3,0,0,2,9-16,2-4,33:43,0,3,+0,21,1,1-1,2,3
James Jones,Miami,0,0,0,0,1-2,0-0,3:16,0,1,+0,3,0,1-2,0,0
Udonis Haslem,Miami,2,0,0,3,2-5,1-1,22:57,2,4,+0,5,0,0-0,5,0
Mario Chalmers,Miami,4,0,0,3,5-7,0-0,25:05,1,2,+0,11,3,1-2,4,0
Norris Cole,Miami,2,0,0,2,3-7,1-2,21:14,0,2,+0,7,0,0-1,2,1
Joe Johnson,Brooklyn,6,0,0,1,4-15,7-8,37:18,2,0,+0,16,0,1-5,3,4
Gerald Wallace,Brooklyn,3,1,0,1,3-5,0-0,29:08,1,0,+0,6,0,0-0,2,1
Reggie Evans,Brooklyn,0,0,0,6,0-1,0-2,19:51,0,2,+0,0,2,0-0,6,1
Keith Bogans,Brooklyn,2,0,0,2,3-6,0-0,21:41,0,1,+0,9,0,3-6,2,1
Kris Humphries,Brooklyn,0,0,0,0,0-0,0-0,2:07,0,0,+0,0,0,0-0,0,0
Deron Williams,Brooklyn,5,0,0,1,4-9,1-1,34:17,0,2,+0,9,1,0-3,1,6
Andray Blatche,Brooklyn,0,1,0,5,5-5,2-3,23:49,1,3,+0,12,1,0-0,6,2
C.J. Watson,Brooklyn,1,0,0,1,1-4,0-0,13:43,0,0,+0,2,2,0-1,1,0
Brook Lopez,Brooklyn,2,3,0,5,8-13,5-6,31:57,2,2,+0,21,1,0-0,7,2
MarShon Brooks,Brooklyn,1,1,0,0,0-2,2-2,7:54,0,1,+0,2,0,0-0,0,1
Tyshawn Taylor,Brooklyn,0,0,0,0,0-1,1-2,4:38,0,0,+0,1,0,0-0,0,0
Mirza Teletovic,Brooklyn,0,0,0,2,3-8,0-0,13:37,4,2,+0,7,0,1-2,6,1
