Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Miller,Miami,1,0,0,1,0-2,0-0,11:22,0,4,+0,0,0,0-1,1,1
Shane Battier,Miami,0,0,0,3,3-5,0-0,23:48,0,3,+0,9,1,3-5,3,0
LeBron James,Miami,8,2,0,10,9-19,7-8,38:35,2,1,+0,27,4,2-4,12,3
Chris Bosh,Miami,1,0,0,1,6-12,1-3,29:33,2,5,+0,14,1,1-1,3,4
Dwyane Wade,Miami,5,1,0,7,10-19,8-10,36:38,2,3,+0,29,1,1-1,9,3
James Jones,Miami,0,2,0,4,2-4,0-0,17:30,0,1,+0,5,0,1-3,4,0
Udonis Haslem,Miami,0,0,0,5,0-4,0-0,26:41,1,3,+0,0,0,0-0,6,1
Joel Anthony,Miami,0,0,0,1,0-0,0-0,7:53,1,1,+0,0,0,0-0,2,0
Mario Chalmers,Miami,4,0,0,1,5-10,3-4,34:02,0,2,+0,17,2,4-6,1,0
Norris Cole,Miami,2,0,0,2,2-6,0-0,13:58,1,2,+0,4,0,0-2,3,1
DeSagana Diop,Charlotte,0,4,0,3,0-1,0-0,11:35,0,0,+0,0,0,0-0,3,0
Hakim Warrick,Charlotte,0,0,0,9,8-12,2-3,38:02,0,2,+0,18,1,0-0,9,4
Ramon Sessions,Charlotte,5,0,0,1,7-12,4-6,35:45,0,4,+0,19,0,1-3,1,1
Gerald Henderson,Charlotte,4,1,0,5,5-19,4-5,44:08,2,3,+0,14,2,0-3,7,2
Bismack Biyombo,Charlotte,0,1,0,6,3-8,1-3,38:23,4,5,+0,7,0,0-0,10,1
Kemba Walker,Charlotte,6,0,0,3,9-20,5-7,42:42,3,2,+0,27,2,4-8,6,5
Michael Kidd-Gilchrist,Charlotte,2,0,0,5,2-6,2-2,22:17,0,4,+0,6,1,0-0,5,2
Jeffery Taylor,Charlotte,1,0,0,0,0-0,1-2,7:08,1,2,+0,1,0,0-0,1,1
