Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LeBron James,Miami,2,0,1,5,7-17,6-8,33:18,0,2,-21,21,3,1-4,5,1
Shane Battier,Miami,0,0,0,1,2-6,0-0,17:37,0,1,-8,6,0,2-5,1,0
Chris Bosh,Miami,1,2,0,2,4-11,2-4,26:43,0,2,-13,10,0,0-0,2,1
Ray Allen,Miami,1,0,0,1,2-4,4-4,26:31,0,2,-13,9,1,1-3,1,0
Mario Chalmers,Miami,3,0,0,0,1-4,1-2,13:39,0,4,-16,3,0,0-2,0,0
Norris Cole,Miami,7,0,0,1,5-9,2-2,32:24,0,4,-4,12,0,0-0,1,4
Udonis Haslem,Miami,0,1,1,3,0-3,1-2,25:55,1,3,-8,1,0,0-0,4,0
Michael Beasley,Miami,2,2,0,4,7-13,1-2,22:40,3,5,-3,15,1,0-1,7,3
Rashard Lewis,Miami,0,0,0,2,1-2,0-0,22:33,1,1,-10,3,3,1-2,3,0
Roger Mason Jr.,Miami,0,0,0,2,3-8,0-0,18:40,1,1,-4,7,1,1-5,3,0
Luol Deng,Chicago,5,1,0,3,5-12,6-8,41:40,2,4,+18,20,0,4-7,5,4
Carlos Boozer,Chicago,1,0,1,5,10-17,7-9,33:08,4,3,+21,27,0,0-0,9,4
Joakim Noah,Chicago,3,0,1,12,6-9,5-6,33:02,3,2,+7,17,1,0-0,15,0
Kirk Hinrich,Chicago,7,0,1,4,4-7,2-2,28:34,1,5,+18,13,0,3-4,5,2
Tony Snell,Chicago,2,0,0,3,3-7,0-0,28:20,0,1,+14,8,0,2-4,3,2
Mike Dunleavy,Chicago,2,0,0,3,1-4,0-0,26:00,1,2,+8,3,1,1-3,4,2
Taj Gibson,Chicago,0,1,0,4,8-12,3-5,24:24,2,1,+15,19,1,0-0,6,1
Marquis Teague,Chicago,3,0,0,1,0-3,0-2,19:27,0,1,+2,0,0,0-1,1,0
Nazr Mohammed,Chicago,1,0,2,1,0-2,0-0,4:57,0,1,-1,0,0,0-0,1,0
Erik Murphy,Chicago,0,0,0,0,0-1,0-0,0:31,0,0,-2,0,0,0-0,0,0
