Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LeBron James,Miami,4,3,0,6,14-19,9-13,41:40,0,1,+11,43,2,6-8,6,0
Chris Bosh,Miami,1,1,0,6,8-16,3-4,39:01,0,1,+5,21,0,2-5,6,2
Greg Oden,Miami,0,2,1,2,3-6,0-1,14:17,1,2,+8,6,2,0-0,3,0
Mario Chalmers,Miami,9,0,1,1,1-7,0-0,31:44,1,2,+9,3,2,1-3,2,3
Toney Douglas,Miami,5,0,1,2,3-7,2-3,21:38,0,4,+0,9,0,1-3,2,3
Ray Allen,Miami,2,0,0,1,5-13,2-2,30:03,2,1,-5,14,0,2-9,3,3
Chris Andersen,Miami,1,1,1,5,0-2,3-6,21:24,3,3,-6,3,0,0-0,8,2
Norris Cole,Miami,0,0,0,0,0-3,1-2,17:00,0,1,+0,1,4,0-1,0,1
Shane Battier,Miami,0,0,1,0,0-2,0-0,14:55,0,2,-10,0,0,0-1,0,0
Udonis Haslem,Miami,0,0,0,6,0-0,0-0,8:18,0,1,+8,0,0,0-0,6,0
Alonzo Gee,Cleveland,2,2,0,2,5-11,0-0,35:39,1,5,-4,12,1,2-6,3,1
Tristan Thompson,Cleveland,0,0,0,3,3-4,4-6,21:10,1,3,-11,10,1,0-0,4,2
Spencer Hawes,Cleveland,3,1,2,9,5-10,1-2,35:27,0,3,-7,11,0,0-3,9,2
Jarrett Jack,Cleveland,4,1,0,4,8-13,2-4,41:30,0,2,-2,22,0,4-6,4,3
Dion Waiters,Cleveland,11,0,4,4,6-19,4-5,41:28,0,4,-14,17,1,1-6,4,6
Anderson Varejao,Cleveland,1,1,1,11,7-11,2-2,25:47,0,6,+7,16,3,0-0,11,2
Matthew Dellavedova,Cleveland,6,0,0,2,2-3,1-1,23:26,1,4,+13,5,0,0-1,3,2
Tyler Zeller,Cleveland,0,0,0,2,1-1,1-2,13:36,1,1,+3,3,0,0-0,3,1
C.J. Miles,Cleveland,0,0,0,0,0-0,0-0,1:57,0,0,-5,0,0,0-0,0,0
