Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LeBron James,Miami,6,0,0,7,16-23,6-8,38:28,2,2,+19,42,2,4-8,9,3
Shane Battier,Miami,3,0,0,3,1-4,0-0,22:49,0,3,+1,2,1,0-2,3,0
Chris Bosh,Miami,1,2,0,5,8-12,4-6,33:07,0,5,+10,22,3,2-4,5,3
Dwyane Wade,Miami,7,1,0,2,4-7,5-6,33:42,1,1,-9,13,0,0-0,3,1
Mario Chalmers,Miami,9,0,0,2,4-8,0-0,29:54,0,4,+17,10,4,2-6,2,2
Chris Andersen,Miami,0,1,0,1,7-9,3-3,26:49,2,4,+6,18,0,1-1,3,0
Norris Cole,Miami,2,0,0,0,1-4,0-0,21:42,1,1,+2,3,1,1-2,1,2
Ray Allen,Miami,1,0,0,1,0-5,0-0,21:36,0,1,+4,0,0,0-3,1,0
Michael Beasley,Miami,0,1,0,0,1-2,0-0,6:33,0,1,-8,2,0,0-0,0,1
Greg Oden,Miami,0,0,1,0,2-3,1-1,5:20,1,1,+13,5,0,0-0,1,0
Dirk Nowitzki,Dallas,7,0,0,7,7-14,7-7,36:16,2,1,+7,22,1,1-5,9,1
Shawn Marion,Dallas,0,0,0,4,3-9,0-0,27:30,3,4,-21,7,1,1-4,7,4
Samuel Dalembert,Dallas,0,0,1,5,3-8,1-2,19:07,4,2,+1,7,0,0-0,9,0
Monta Ellis,Dallas,2,0,1,2,4-13,3-4,37:18,0,2,-20,12,3,1-3,2,3
Jose Calderon,Dallas,3,0,0,3,4-9,2-2,29:04,0,2,-20,12,0,2-6,3,2
Vince Carter,Dallas,1,0,0,1,2-9,10-11,26:26,6,3,-13,15,1,1-5,7,2
Brandan Wright,Dallas,0,1,1,2,5-13,2-2,22:45,3,0,-9,12,0,0-0,5,1
Devin Harris,Dallas,5,0,0,4,2-3,4-4,18:54,0,1,+5,9,0,1-1,4,3
Jae Crowder,Dallas,1,0,1,1,2-3,0-0,13:53,2,1,+9,5,0,1-1,3,0
DeJuan Blair,Dallas,0,0,1,0,1-2,0-0,6:09,0,0,-3,2,0,0-0,0,0
Wayne Ellington,Dallas,0,0,0,0,1-2,0-0,0:54,0,0,+3,3,0,1-2,0,0
Bernard James,Dallas,1,0,0,0,0-0,0-0,0:54,1,0,+3,0,0,0-0,1,0
Shane Larkin,Dallas,0,0,0,0,0-0,0-0,0:54,0,0,+3,0,0,0-0,0,0
