Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ray Allen,Miami,0,0,0,4,3-13,1-1,28:41,1,1,+0,9,0,2-7,5,2
Mike Miller,Miami,1,0,0,3,2-6,0-0,23:10,1,2,+0,5,0,1-5,4,1
Shane Battier,Miami,1,0,0,3,2-5,0-1,27:31,1,0,+0,6,0,2-5,4,1
LeBron James,Miami,5,1,0,5,15-22,3-4,44:19,1,1,+0,35,6,2-4,6,3
Chris Bosh,Miami,1,3,0,5,11-17,6-6,39:32,4,3,+0,28,0,0-1,9,4
Udonis Haslem,Miami,1,1,0,1,3-5,1-2,20:29,1,3,+0,7,0,0-0,2,1
Joel Anthony,Miami,0,0,0,3,0-0,0-0,8:28,0,0,+0,0,0,0-0,3,0
Mario Chalmers,Miami,4,0,0,1,1-6,1-2,28:43,1,3,+0,4,0,1-6,2,1
Norris Cole,Miami,5,0,0,0,2-3,0-0,19:07,0,3,+0,5,0,1-1,0,1
Tayshaun Prince,Detroit,4,0,0,0,4-9,2-2,36:00,0,2,+0,11,0,1-2,0,0
Charlie Villanueva,Detroit,0,0,0,5,7-10,0-0,25:43,1,1,+0,18,1,4-5,6,1
Jason Maxiell,Detroit,1,0,0,1,4-7,1-2,19:03,0,0,+0,9,0,0-0,1,0
Will Bynum,Detroit,10,0,0,2,10-16,2-3,27:35,0,2,+0,25,1,3-4,2,2
Austin Daye,Detroit,2,2,0,4,4-5,1-2,28:57,0,4,+0,11,0,2-2,4,1
Greg Monroe,Detroit,3,0,0,6,3-6,0-1,27:48,1,1,+0,6,0,0-0,7,5
Brandon Knight,Detroit,2,0,0,3,1-3,4-6,20:25,0,3,+0,7,1,1-3,3,2
Kyle Singler,Detroit,2,0,0,3,5-11,1-1,31:03,2,2,+0,12,1,1-3,5,1
Andre Drummond,Detroit,0,0,0,7,5-7,0-0,23:26,3,5,+0,10,2,0-0,10,2
