Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LeBron James,Miami,1,2,0,3,10-17,4-5,29:02,0,1,-7,27,4,3-5,3,1
Udonis Haslem,Miami,0,0,0,1,2-3,1-2,16:06,1,3,-7,5,0,0-0,2,0
Chris Bosh,Miami,7,1,3,6,4-11,5-6,30:03,3,5,-5,14,1,1-1,9,3
Dwyane Wade,Miami,7,0,2,1,10-17,4-6,33:00,1,2,+12,25,3,1-2,2,3
Mario Chalmers,Miami,3,0,0,0,0-2,2-2,23:47,0,3,-10,2,3,0-2,0,4
Ray Allen,Miami,2,0,0,3,3-6,0-0,25:47,0,2,+23,9,0,3-4,3,1
Norris Cole,Miami,2,0,0,2,2-5,1-2,24:47,1,4,+26,6,2,1-2,3,1
Shane Battier,Miami,3,0,1,3,0-2,0-0,23:39,2,1,+31,0,0,0-1,5,0
Chris Andersen,Miami,0,1,0,2,5-5,3-3,15:45,1,1,+16,13,1,0-0,3,1
Roger Mason Jr.,Miami,0,0,0,0,1-2,0-0,4:10,2,0,-3,3,0,1-1,2,0
Greg Oden,Miami,0,0,0,2,1-1,0-2,3:59,0,2,-1,2,0,0-0,2,2
Michael Beasley,Miami,0,0,0,1,1-2,0-0,3:27,1,0,-2,2,0,0-0,2,2
Joel Anthony,Miami,0,0,0,0,0-0,0-0,3:14,0,1,-4,0,0,0-0,0,0
James Jones,Miami,0,0,0,0,0-2,0-0,3:14,0,0,-4,0,1,0-2,0,1
Al-Farouq Aminu,New Orleans,3,0,0,7,4-9,0-0,34:22,2,2,+10,8,1,0-0,9,3
Anthony Davis,New Orleans,3,3,1,6,5-9,8-11,32:12,2,2,+3,18,3,0-0,8,0
Greg Stiemsma,New Orleans,0,0,0,3,0-1,0-0,12:35,1,4,+3,0,0,0-0,4,3
Jrue Holiday,New Orleans,6,0,1,1,4-8,2-3,32:40,0,3,+10,12,2,2-4,1,5
Eric Gordon,New Orleans,3,0,0,1,6-12,4-4,26:06,0,4,-23,19,1,3-7,1,2
Ryan Anderson,New Orleans,3,1,0,0,3-10,2-2,29:50,1,4,-23,10,1,2-6,1,2
Anthony Morrow,New Orleans,0,0,1,2,4-7,5-5,18:55,0,0,-12,16,0,3-5,2,1
Brian Roberts,New Orleans,2,0,0,1,1-3,0-0,18:19,0,2,-18,3,0,1-3,1,2
Austin Rivers,New Orleans,1,1,1,0,0-1,2-4,13:23,0,1,-5,2,0,0-0,0,2
Jason Smith,New Orleans,0,1,0,1,2-4,0-0,10:24,1,4,-17,4,0,0-0,2,3
Arinze Onuaku,New Orleans,0,0,0,1,1-1,0-0,4:55,0,1,+4,2,0,0-0,1,0
Lance Thomas,New Orleans,1,0,0,0,0-1,1-2,3:48,0,1,+1,1,0,0-0,0,0
Jeff Withey,New Orleans,0,0,0,1,0-0,0-0,2:31,0,0,+2,0,1,0-0,1,0
