Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ray Allen,Miami,3,0,0,1,4-9,0-0,25:32,0,0,+0,12,0,4-6,1,1
Rashard Lewis,Miami,1,0,0,0,0-0,0-0,5:26,0,0,+0,0,0,0-0,0,0
Shane Battier,Miami,1,0,0,1,2-2,0-0,25:08,1,2,+0,6,0,2-2,2,0
Chris Andersen,Miami,0,1,0,5,0-1,2-2,13:40,0,0,+0,2,0,0-0,5,0
LeBron James,Miami,11,0,0,9,7-12,1-2,31:30,1,1,+0,16,2,1-4,10,2
Chris Bosh,Miami,1,0,0,1,6-12,1-1,24:45,0,0,+0,13,0,0-2,1,0
Dwyane Wade,Miami,2,0,0,5,14-18,5-7,32:26,1,3,+0,33,2,0-1,6,1
James Jones,Miami,0,0,0,0,0-1,0-0,4:05,0,0,+0,0,0,0-1,0,0
Udonis Haslem,Miami,1,0,0,5,2-4,0-0,19:41,2,1,+0,4,0,0-0,7,0
Joel Anthony,Miami,0,1,0,2,0-0,2-2,6:50,0,1,+0,2,0,0-0,2,0
Mario Chalmers,Miami,6,0,0,0,5-8,2-2,26:54,0,0,+0,14,3,2-5,0,1
Jarvis Varnado,Miami,0,0,0,0,0-0,0-0,2:57,0,0,+0,0,0,0-0,0,0
Norris Cole,Miami,1,0,0,3,5-10,2-2,21:06,0,2,+0,12,2,0-0,3,1
Dorell Wright,Philadelphia,1,0,0,4,6-13,0-0,31:53,0,3,+0,17,0,5-10,4,0
Royal Ivey,Philadelphia,0,0,0,0,0-4,0-0,8:28,1,1,+0,0,0,0-2,1,1
Damien Wilkins,Philadelphia,0,0,0,1,0-0,2-2,6:50,0,0,+0,2,0,0-0,1,0
Spencer Hawes,Philadelphia,3,1,0,2,1-5,0-0,25:13,0,2,+0,2,0,0-0,2,2
Nick Young,Philadelphia,2,1,0,0,8-14,0-0,33:21,0,3,+0,19,0,3-7,0,1
Jrue Holiday,Philadelphia,6,0,0,5,8-11,3-4,37:28,1,3,+0,21,0,2-3,6,2
Evan Turner,Philadelphia,5,0,0,5,8-19,0-0,36:09,2,3,+0,16,1,0-3,7,5
Lavoy Allen,Philadelphia,3,1,0,5,2-7,2-2,32:04,1,0,+0,6,0,0-0,6,0
Jeremy Pargo,Philadelphia,5,0,0,2,2-4,2-2,21:44,0,0,+0,7,0,1-3,2,1
Arnett Moultrie,Philadelphia,0,0,0,1,0-1,0-0,6:50,2,0,+0,0,0,0-0,3,0
