Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LeBron James,Miami,8,0,1,8,12-23,5-6,43:43,0,3,-10,33,0,4-9,8,2
Shane Battier,Miami,0,2,0,0,3-5,0-0,19:05,0,2,+6,9,1,3-4,0,3
Chris Bosh,Miami,1,3,0,6,8-15,2-2,35:17,1,1,+3,18,0,0-2,7,4
Mario Chalmers,Miami,10,0,0,3,4-11,2-4,43:33,1,4,+0,11,3,1-7,4,1
Roger Mason Jr.,Miami,2,0,0,3,1-5,1-1,22:47,0,5,+12,4,1,1-4,3,0
Norris Cole,Miami,1,0,0,0,4-6,3-4,35:55,0,2,-12,13,1,2-3,0,1
Michael Beasley,Miami,1,0,1,6,3-9,3-3,33:04,0,5,-14,9,1,0-2,6,3
Udonis Haslem,Miami,0,0,2,4,2-7,0-1,17:43,1,1,-8,4,1,0-0,5,0
Rashard Lewis,Miami,0,0,0,1,1-5,0-0,13:52,1,0,-2,2,1,0-1,2,2
Rudy Gay,Sacramento,1,1,1,2,11-19,3-3,39:52,1,2,-4,26,1,1-5,3,5
Jason Thompson,Sacramento,0,0,0,3,5-6,0-0,21:18,0,1,-6,10,0,0-0,3,0
DeMarcus Cousins,Sacramento,5,0,1,11,10-21,7-10,40:34,6,5,+0,27,2,0-0,17,5
Isaiah Thomas,Sacramento,11,0,2,6,7-16,5-6,41:01,1,3,+6,22,1,3-7,7,3
Ben McLemore,Sacramento,1,0,1,5,1-4,0-0,23:58,0,1,-7,2,0,0-1,5,3
Marcus Thornton,Sacramento,1,0,0,5,1-4,4-4,29:02,0,2,+12,7,1,1-4,5,1
Derrick Williams,Sacramento,0,0,0,2,1-4,0-0,27:37,0,1,+14,2,0,0-1,2,1
Travis Outlaw,Sacramento,1,1,0,3,2-5,0-0,14:59,1,2,+7,4,0,0-1,4,2
Quincy Acy,Sacramento,0,1,0,3,3-3,2-2,14:40,1,4,+4,8,0,0-0,4,1
Jimmer Fredette,Sacramento,3,1,0,1,0-1,0-0,11:59,0,0,-1,0,0,0-1,1,1
