Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
LeBron James,Miami,8,1,0,6,13-20,8-8,36:01,2,2,+3,35,0,1-3,8,1
Shane Battier,Miami,2,1,0,2,3-4,0-0,19:37,0,4,-3,8,1,2-3,2,0
Udonis Haslem,Miami,0,0,1,1,0-4,0-0,21:47,4,3,-2,0,0,0-0,5,0
Dwyane Wade,Miami,5,0,0,5,9-19,2-2,33:31,1,1,+1,20,2,0-1,6,2
Mario Chalmers,Miami,7,0,0,2,2-6,0-0,27:52,2,3,+3,5,2,1-3,4,2
Ray Allen,Miami,2,0,0,4,5-11,1-1,29:34,0,3,+21,14,1,3-7,4,2
Rashard Lewis,Miami,5,0,0,1,1-4,1-2,21:18,0,3,+7,4,0,1-2,1,1
Norris Cole,Miami,2,0,0,3,3-7,0-1,20:08,0,1,+6,6,1,0-1,3,0
Chris Andersen,Miami,0,0,0,2,3-4,0-0,17:19,1,4,+10,6,0,0-0,3,2
Joel Anthony,Miami,0,1,0,2,0-0,0-0,8:54,0,2,+1,0,0,0-0,2,0
Michael Beasley,Miami,0,1,0,0,2-4,0-0,3:59,0,1,-2,6,0,2-3,0,1
Rudy Gay,Toronto,2,0,1,7,3-10,6-7,33:34,3,4,-4,13,1,1-3,10,4
Amir Johnson,Toronto,2,0,0,5,3-7,0-0,23:42,1,2,+7,6,0,0-0,6,2
Jonas Valanciunas,Toronto,0,1,1,5,7-13,4-6,27:10,4,3,-9,18,0,0-0,9,0
DeMar DeRozan,Toronto,3,0,0,0,8-15,5-5,39:46,0,3,-7,21,1,0-3,0,2
Kyle Lowry,Toronto,5,0,1,1,4-11,3-3,35:27,2,4,+0,13,1,2-8,3,1
Landry Fields,Toronto,1,0,1,1,2-6,1-3,28:18,2,2,-18,5,0,0-0,3,1
Terrence Ross,Toronto,2,0,0,2,3-8,2-2,23:57,0,0,-3,11,1,3-7,2,1
Tyler Hansbrough,Toronto,0,0,0,6,1-2,6-7,15:33,1,1,-2,8,0,0-0,7,1
D.J. Augustin,Toronto,0,0,0,0,0-0,0-0,12:33,0,2,-9,0,0,0-0,0,3
