Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ray Allen,Miami,3,0,0,0,4-6,0-0,23:23,0,3,+0,10,0,2-4,0,2
Rashard Lewis,Miami,0,1,0,4,4-10,3-3,27:16,0,1,+0,13,1,2-6,4,1
Mike Miller,Miami,0,0,0,0,0-2,0-0,4:44,0,0,+0,0,0,0-2,0,0
LeBron James,Miami,6,2,0,3,13-19,4-4,43:41,1,5,+0,32,3,2-4,4,3
Chris Bosh,Miami,1,1,0,0,8-13,0-0,26:35,1,4,+0,16,0,0-0,1,2
Dwyane Wade,Miami,4,0,0,4,5-11,0-3,29:18,1,2,+0,11,1,1-2,5,2
Udonis Haslem,Miami,1,0,0,5,0-1,0-0,18:50,0,4,+0,0,1,0-0,5,2
Joel Anthony,Miami,2,0,0,0,1-1,1-2,22:54,2,1,+0,3,1,0-0,2,0
Mario Chalmers,Miami,7,0,0,2,4-8,2-4,37:17,0,4,+0,12,1,2-4,2,1
Norris Cole,Miami,1,0,0,0,0-1,0-0,6:02,0,0,+0,0,0,0-1,0,1
Jamaal Tinsley,Utah,7,0,0,5,1-7,0-0,30:36,0,3,+0,3,1,1-5,5,5
Earl Watson,Utah,3,0,0,0,0-0,0-0,9:21,0,0,+0,0,1,0-0,0,0
Al Jefferson,Utah,1,0,0,7,8-14,7-8,37:39,4,4,+0,23,1,0-0,11,2
Marvin Williams,Utah,2,1,0,2,2-8,0-0,32:42,0,1,+0,5,2,1-4,2,1
Randy Foye,Utah,2,0,0,1,3-6,0-0,21:14,1,3,+0,9,1,3-4,2,0
Paul Millsap,Utah,0,0,0,4,4-14,9-10,32:48,5,3,+0,17,2,0-0,9,1
DeMarre Carroll,Utah,2,0,0,1,5-7,2-3,15:18,3,1,+0,12,1,0-0,4,1
Derrick Favors,Utah,2,1,0,1,3-4,1-1,17:55,0,2,+0,7,0,0-0,1,0
Gordon Hayward,Utah,4,0,0,2,8-13,3-4,26:46,0,2,+0,22,0,3-4,2,2
Alec Burks,Utah,0,0,0,1,1-2,2-2,8:03,0,0,+0,4,0,0-1,1,1
Enes Kanter,Utah,2,0,0,3,1-1,0-0,7:38,0,1,+0,2,0,0-0,3,1
