Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Milwaukee,0,1,0,2,2-7,4-4,18:26,1,2,+0,9,0,1-4,3,0
Marquis Daniels,Milwaukee,1,0,0,2,0-5,0-0,19:10,0,0,+0,0,1,0-1,2,1
Ersan Ilyasova,Milwaukee,2,0,0,3,3-7,1-2,26:21,2,4,+0,8,1,1-3,5,1
Monta Ellis,Milwaukee,5,0,0,6,9-21,9-11,41:07,1,1,+0,27,0,0-1,7,4
Luc Richard Mbah a Moute,Milwaukee,2,0,0,1,8-15,4-10,40:02,5,2,+0,20,0,0-0,6,5
Brandon Jennings,Milwaukee,8,0,0,7,4-11,2-4,48:00,4,1,+0,12,2,2-5,11,7
Ekpe Udoh,Milwaukee,1,0,0,3,1-3,1-2,26:24,0,0,+0,3,2,0-1,3,0
Larry Sanders,Milwaukee,3,2,0,18,8-10,1-3,39:10,2,4,+0,17,2,0-0,20,1
Doron Lamb,Milwaukee,0,0,0,0,1-4,0-0,6:20,0,1,+0,3,0,1-1,0,2
Kevin Garnett,Boston,1,0,0,4,6-22,0-0,37:45,3,0,+0,12,2,0-1,7,2
Paul Pierce,Boston,5,0,0,10,13-23,6-8,42:40,2,4,+0,35,3,3-7,12,6
Jason Terry,Boston,1,0,0,0,1-15,1-1,31:53,0,0,+0,4,0,1-9,0,0
Jason Collins,Boston,0,1,0,2,0-0,2-3,15:08,0,4,+0,2,0,0-0,2,1
Brandon Bass,Boston,1,1,0,4,2-6,2-2,22:35,2,2,+0,6,1,0-0,6,0
Rajon Rondo,Boston,11,1,0,3,3-8,0-0,45:20,2,0,+0,6,4,0-1,5,2
Jeff Green,Boston,2,2,0,2,4-9,6-6,28:20,1,3,+0,14,4,0-3,3,1
Courtney Lee,Boston,0,0,0,2,5-9,0-0,26:58,0,3,+0,11,2,1-3,2,1
Jared Sullinger,Boston,2,0,0,5,2-2,0-0,14:21,2,6,+0,4,0,0-0,7,1
