Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Caron Butler,Milwaukee,1,0,0,1,1-5,2-2,22:24,0,0,+0,4,2,0-1,1,4
Ersan Ilyasova,Milwaukee,0,1,0,1,3-4,0-0,9:43,0,1,+0,6,0,0-0,1,0
Larry Sanders,Milwaukee,0,3,0,2,2-4,2-4,19:20,3,2,+0,6,0,0-0,5,1
Brandon Knight,Milwaukee,2,1,0,2,1-8,2-3,20:24,1,0,+0,4,3,0-3,3,2
O.J. Mayo,Milwaukee,2,0,0,3,3-10,0-0,19:07,0,3,+0,7,0,1-5,3,2
Giannis Antetokounmpo,Milwaukee,2,3,0,4,3-7,7-10,29:12,0,5,+0,14,2,1-3,4,5
Stephen Graham,Milwaukee,0,1,0,1,5-10,5-5,19:26,3,4,+0,15,1,0-0,4,0
Gary Neal,Milwaukee,2,0,0,0,3-8,0-0,19:01,0,1,+0,7,2,1-2,0,1
John Henson,Milwaukee,2,2,0,2,3-6,0-0,18:14,2,2,+0,6,0,0-0,4,0
Miroslav Raduljica,Milwaukee,1,2,0,2,2-2,2-6,17:46,2,5,+0,6,2,0-0,4,2
Luke Ridnour,Milwaukee,2,0,0,4,1-3,2-2,15:36,1,2,+0,5,0,1-2,5,1
Nate Wolters,Milwaukee,3,0,0,2,0-3,2-2,12:00,0,1,+0,2,1,0-1,2,1
Khris Middleton,Milwaukee,1,0,0,1,0-5,0-0,9:52,0,0,+0,0,2,0-1,1,3
Olek Czyz,Milwaukee,0,0,0,1,1-1,0-1,4:57,0,0,+0,2,0,0-0,1,0
Trey McKinney Jones,Milwaukee,0,0,0,0,1-1,1-2,2:58,0,1,+0,3,0,0-0,0,1
Tristan Thompson,Cleveland,3,1,0,3,7-10,3-4,24:50,5,1,+0,17,0,0-0,8,1
Earl Clark,Cleveland,1,0,0,3,1-5,0-0,16:26,0,6,+0,3,0,1-2,3,2
Anderson Varejao,Cleveland,1,1,0,6,2-5,0-0,21:26,4,1,+0,4,2,0-0,10,0
Dion Waiters,Cleveland,2,0,0,2,4-11,3-3,23:41,0,3,+0,12,1,1-2,2,2
Kyrie Irving,Cleveland,3,2,0,1,5-10,2-2,23:24,0,2,+0,14,2,2-4,1,5
Anthony Bennett,Cleveland,1,0,0,6,2-12,3-8,22:45,4,5,+0,7,0,0-3,10,4
C.J. Miles,Cleveland,1,0,0,3,4-7,2-2,18:55,0,3,+0,12,2,2-4,3,0
Carrick Felix,Cleveland,2,1,0,1,0-1,0-2,17:10,0,1,+0,0,2,0-1,1,0
Jarrett Jack,Cleveland,5,0,0,1,1-3,1-1,16:04,1,3,+0,3,0,0-1,2,4
Sergey Karasev,Cleveland,2,0,0,0,1-4,0-0,14:25,0,3,+0,3,1,1-3,0,3
Kenny Kadji,Cleveland,0,0,0,1,6-11,3-4,12:29,4,2,+0,15,1,0-1,5,0
Matthew Dellavedova,Cleveland,0,0,0,2,0-0,2-2,6:37,0,1,+0,2,0,0-0,2,1
Henry Sims,Cleveland,0,0,0,0,1-2,2-2,6:30,1,0,+0,4,0,0-0,1,0
Michael Lee,Cleveland,0,0,0,0,0-0,0-0,4:21,0,1,+0,0,0,0-0,0,0
DeSagana Diop,Cleveland,0,0,0,2,0-0,0-0,3:39,0,1,+0,0,0,0-0,2,1
Jermaine Taylor,Cleveland,0,0,0,0,0-1,2-2,3:39,0,0,+0,2,0,0-0,0,1
Elliot Williams,Cleveland,0,0,0,0,0-0,1-2,3:39,0,0,+0,1,0,0-0,0,2
