Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Milwaukee,0,0,0,2,3-7,0-0,27:36,0,4,+0,9,0,3-5,2,1
Drew Gooden,Milwaukee,1,1,0,0,3-7,3-3,16:12,0,3,+0,9,1,0-1,0,1
Marquis Daniels,Milwaukee,1,0,0,2,3-9,1-2,20:24,4,1,+0,7,1,0-2,6,1
Beno Udrih,Milwaukee,2,0,0,1,0-1,0-0,16:32,1,0,+0,0,0,0-1,2,2
Ersan Ilyasova,Milwaukee,2,0,0,5,9-12,3-4,26:47,0,2,+0,24,0,3-3,5,0
Monta Ellis,Milwaukee,9,1,0,3,12-22,3-4,41:32,1,0,+0,30,1,3-7,4,2
Luc Richard Mbah a Moute,Milwaukee,0,1,0,5,1-3,0-0,21:26,0,2,+0,2,0,0-0,5,3
Brandon Jennings,Milwaukee,4,0,0,5,3-12,2-2,37:43,1,2,+0,9,0,1-4,6,1
Ekpe Udoh,Milwaukee,0,1,0,0,0-0,0-0,11:39,0,0,+0,0,2,0-0,0,0
Larry Sanders,Milwaukee,0,1,0,0,2-4,0-2,20:09,3,4,+0,4,2,0-0,3,1
Tayshaun Prince,Detroit,2,0,0,2,8-16,4-4,34:40,0,0,+0,20,0,0-2,2,0
Charlie Villanueva,Detroit,1,0,0,3,4-8,0-0,21:41,0,0,+0,11,1,3-7,3,1
Jason Maxiell,Detroit,3,0,0,7,5-8,0-0,26:20,3,1,+0,10,0,0-0,10,2
Will Bynum,Detroit,5,1,0,2,4-9,0-0,24:09,0,2,+0,8,0,0-1,2,5
Austin Daye,Detroit,0,1,0,3,2-2,0-0,13:20,0,3,+0,5,0,1-1,3,0
Greg Monroe,Detroit,2,0,0,6,6-12,2-3,28:32,4,2,+0,14,0,0-0,10,3
Brandon Knight,Detroit,3,0,0,1,4-12,1-2,34:52,2,3,+0,11,0,2-5,3,4
Kyle Singler,Detroit,0,1,0,1,2-11,4-4,31:27,5,0,+0,8,3,0-2,6,1
Andre Drummond,Detroit,0,2,0,5,4-4,0-0,19:28,2,2,+0,8,1,0-0,7,0
Kim English,Detroit,0,0,0,1,0-0,1-2,5:32,0,0,+0,1,0,0-0,1,0
