Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ersan Ilyasova,Milwaukee,1,0,0,3,1-3,2-2,22:55,0,1,-5,5,1,1-1,3,3
Giannis Antetokounmpo,Milwaukee,3,1,0,4,4-10,0-0,21:16,0,4,-5,10,1,2-4,4,3
Larry Sanders,Milwaukee,1,5,2,2,5-8,2-6,30:45,3,4,-6,12,2,0-0,5,0
Brandon Knight,Milwaukee,7,0,0,4,9-16,5-7,33:44,0,3,-2,26,0,3-6,4,4
Luke Ridnour,Milwaukee,5,0,0,1,5-8,0-0,30:13,0,3,-15,14,0,4-4,1,3
O.J. Mayo,Milwaukee,1,0,1,2,4-9,0-0,30:00,3,3,-3,9,0,1-4,5,4
John Henson,Milwaukee,1,1,0,11,8-12,4-6,29:20,4,2,-3,20,0,0-0,15,1
Khris Middleton,Milwaukee,3,2,0,1,3-9,0-0,28:08,0,2,-2,6,2,0-4,1,0
Miroslav Raduljica,Milwaukee,0,0,1,0,0-1,0-0,8:20,1,1,-3,0,0,0-0,1,1
Caron Butler,Milwaukee,1,0,0,1,1-4,0-0,5:19,0,1,-6,2,0,0-0,1,0
Terrence Jones,Houston,1,2,3,5,14-20,7-10,38:16,6,1,+15,36,1,1-2,11,0
Chandler Parsons,Houston,2,1,2,7,3-10,1-2,36:59,1,1,+3,8,1,1-5,8,3
Dwight Howard,Houston,2,1,2,10,8-11,3-7,34:53,4,4,+10,20,0,1-1,14,0
James Harden,Houston,4,0,1,3,7-16,7-10,37:03,1,3,+11,22,5,1-6,4,4
Jeremy Lin,Houston,4,0,1,1,2-7,2-2,22:37,0,2,+0,7,0,1-1,1,2
Aaron Brooks,Houston,4,0,0,0,3-6,2-2,25:15,0,2,+8,10,1,2-4,0,1
Donatas Motiejunas,Houston,2,0,0,3,1-4,1-2,21:10,0,5,+1,3,2,0-2,3,1
Omri Casspi,Houston,1,0,0,3,3-11,0-0,21:04,1,1,+8,6,1,0-6,4,0
Ronnie Brewer,Houston,0,0,0,0,0-0,0-0,0:54,0,0,-2,0,0,0-0,0,0
Isaiah Canaan,Houston,0,0,0,1,0-0,2-2,0:54,0,0,-2,2,0,0-0,1,0
Robert Covington,Houston,0,0,0,0,0-0,0-0,0:54,0,0,-2,0,0,0-0,0,0
