Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
John Henson,Milwaukee,4,0,0,9,3-6,2-4,34:24,3,3,+0,8,0,0-0,12,3
Caron Butler,Milwaukee,2,0,0,3,1-5,1-1,22:40,0,1,+0,3,0,0-1,3,1
Larry Sanders,Milwaukee,1,0,0,3,5-10,1-2,27:08,2,6,+0,11,0,0-1,5,3
O.J. Mayo,Milwaukee,3,0,0,4,4-9,2-2,30:09,0,6,+0,14,2,4-5,4,5
Brandon Knight,Milwaukee,4,0,0,4,8-16,3-4,27:07,1,3,+0,19,1,0-1,5,1
Khris Middleton,Milwaukee,1,0,0,3,7-14,1-2,24:35,1,4,+0,15,1,0-2,4,1
Luke Ridnour,Milwaukee,2,0,0,2,3-7,5-5,23:51,0,3,+0,13,0,2-3,2,0
Giannis Antetokounmpo,Milwaukee,0,0,0,2,2-3,4-4,18:45,1,1,+0,8,1,0-0,3,0
Olek Czyz,Milwaukee,2,0,0,0,1-4,0-0,14:14,0,0,+0,2,2,0-0,0,2
Miroslav Raduljica,Milwaukee,2,0,0,3,0-0,2-2,9:40,1,2,+0,2,0,0-0,4,1
Stephen Graham,Milwaukee,1,0,0,0,2-4,0-0,7:28,0,0,+0,4,0,0-1,0,0
Quincy Pondexter,Memphis,0,0,0,4,9-14,4-5,37:03,0,1,+0,24,1,2-5,4,1
Ed Davis,Memphis,0,0,0,6,1-5,4-5,28:18,4,3,+0,6,0,0-0,10,0
Marc Gasol,Memphis,7,0,0,5,5-16,8-10,33:30,1,3,+0,18,1,0-0,6,1
Mike Conley,Memphis,3,0,0,0,5-10,6-9,31:47,0,5,+0,17,3,1-2,0,0
Tony Allen,Memphis,1,0,0,2,2-10,1-2,28:13,2,0,+0,6,2,1-2,4,2
Jerryd Bayless,Memphis,3,0,0,2,6-13,4-4,28:22,0,3,+0,18,2,2-7,2,4
Jon Leuer,Memphis,3,0,0,3,4-6,0-0,23:56,3,3,+0,8,1,0-1,6,1
Nick Calathes,Memphis,2,0,0,3,1-3,1-4,12:41,2,1,+0,3,0,0-0,5,3
Melvin Ely,Memphis,0,0,0,2,0-1,2-2,10:16,0,0,+0,2,0,0-0,2,1
Jamaal Franklin,Memphis,0,0,0,1,0-0,0-0,5:00,0,1,+0,0,0,0-0,1,0
Tony Gaffney,Memphis,0,0,0,0,0-0,0-0,0:54,0,0,+0,0,0,0-0,0,0
