Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Milwaukee,1,0,0,3,2-6,0-0,19:46,0,0,+0,5,0,1-3,3,1
Marquis Daniels,Milwaukee,0,0,0,4,1-5,0-0,17:29,1,3,+0,2,2,0-0,5,1
Ersan Ilyasova,Milwaukee,1,0,0,7,2-9,2-2,34:28,0,3,+0,7,0,1-3,7,3
Monta Ellis,Milwaukee,6,0,0,0,4-13,2-4,31:51,0,3,+0,11,0,1-7,0,2
J.J. Redick,Milwaukee,4,0,0,4,5-10,3-4,31:17,0,1,+0,18,0,5-7,4,2
Luc Richard Mbah a Moute,Milwaukee,0,0,0,1,0-2,0-0,18:31,1,2,+0,0,1,0-0,2,1
Brandon Jennings,Milwaukee,3,0,0,2,9-20,3-5,37:10,2,1,+0,25,1,4-10,4,2
Ekpe Udoh,Milwaukee,0,1,0,3,2-3,0-0,15:39,0,1,+0,4,0,0-0,3,0
Larry Sanders,Milwaukee,1,1,0,8,3-7,3-3,30:53,4,2,+0,9,1,0-0,12,1
Ish Smith,Milwaukee,0,0,0,0,0-0,0-0,1:28,0,0,+0,0,0,0-0,0,0
John Henson,Milwaukee,0,0,0,0,1-1,0-0,1:28,0,0,+0,2,0,0-0,0,0
Jason Kidd,New York,2,0,0,6,2-4,0-0,23:36,1,2,+0,5,1,1-2,7,0
Tyson Chandler,New York,3,0,0,6,3-7,0-0,36:54,4,2,+0,6,1,0-0,10,0
Carmelo Anthony,New York,1,1,0,9,17-28,4-4,37:04,5,2,+0,41,0,3-7,14,5
J.R. Smith,New York,3,0,0,9,11-22,3-4,33:43,1,0,+0,30,2,5-11,10,0
Raymond Felton,New York,4,0,0,2,4-9,0-0,35:58,1,3,+0,9,2,1-3,3,4
James White,New York,0,0,0,0,0-0,0-0,1:28,0,0,+0,0,0,0-0,0,0
Steve Novak,New York,0,0,0,0,1-4,0-0,14:42,0,0,+0,2,0,0-3,0,0
Iman Shumpert,New York,0,1,0,3,0-7,0-0,18:47,0,2,+0,0,0,0-3,3,0
Chris Copeland,New York,0,0,0,0,2-4,0-0,20:34,0,4,+0,6,0,2-4,0,0
Pablo Prigioni,New York,4,0,0,3,1-4,0-0,17:14,0,3,+0,2,0,0-3,3,0
