Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Khris Middleton,Milwaukee,5,0,2,6,7-17,0-0,39:34,0,6,+5,18,0,4-7,6,0
Ersan Ilyasova,Milwaukee,2,0,1,4,6-10,0-0,23:07,5,6,+2,12,2,0-0,9,1
Zaza Pachulia,Milwaukee,3,0,0,7,7-14,3-3,36:53,6,1,+4,17,4,0-0,13,3
Nate Wolters,Milwaukee,6,0,0,4,1-5,2-4,38:09,0,3,+4,4,0,0-0,4,5
Brandon Knight,Milwaukee,4,1,1,8,8-20,5-7,37:00,0,5,-2,24,2,3-7,8,4
Ramon Sessions,Milwaukee,5,0,1,5,8-16,6-9,34:45,0,2,-13,23,1,1-2,5,2
Jeff Adrien,Milwaukee,1,1,0,4,3-5,1-1,19:49,1,3,-9,7,1,0-0,5,1
Giannis Antetokounmpo,Milwaukee,0,0,0,2,2-6,0-0,19:36,0,2,-7,4,0,0-1,2,1
John Henson,Milwaukee,2,1,0,1,3-5,0-2,16:07,0,3,-9,6,0,0-0,1,2
Nicolas Batum,Portland,9,0,1,8,7-15,4-4,43:48,1,0,+2,21,0,3-7,9,1
Dorell Wright,Portland,1,1,0,5,0-8,1-2,19:24,0,0,-4,1,1,0-7,5,1
Robin Lopez,Portland,2,3,1,7,7-12,1-1,37:21,7,3,+0,15,0,0-0,14,1
Wesley Matthews,Portland,2,0,1,1,8-15,5-5,41:16,1,4,+1,26,2,5-7,2,3
Damian Lillard,Portland,4,0,0,1,7-21,5-5,39:01,0,5,+3,20,1,1-11,1,5
Mo Williams,Portland,3,0,0,2,7-12,6-6,34:19,0,4,+10,23,0,3-5,2,1
Thomas Robinson,Portland,2,1,0,7,4-8,1-3,15:55,2,3,+5,9,1,0-0,9,2
Meyers Leonard,Portland,1,0,0,4,1-3,0-0,15:32,0,3,+3,2,0,0-0,4,1
Will Barton,Portland,1,0,0,1,1-1,1-1,11:15,0,0,+3,3,0,0-0,1,0
C.J. McCollum,Portland,0,0,0,0,0-2,0-0,7:09,0,0,+2,0,1,0-2,0,1
