Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ersan Ilyasova,Milwaukee,0,0,0,3,4-7,6-6,23:57,1,0,-11,14,0,0-1,4,0
Khris Middleton,Milwaukee,0,0,0,3,3-8,0-0,23:43,2,2,-30,7,0,1-4,5,0
Zaza Pachulia,Milwaukee,0,0,0,0,4-8,0-2,19:51,3,5,-15,8,0,0-0,3,2
Brandon Knight,Milwaukee,7,2,1,2,2-12,2-3,23:00,0,2,-24,6,0,0-4,2,3
Giannis Antetokounmpo,Milwaukee,2,0,0,5,3-7,2-2,22:55,1,4,-5,9,0,1-2,6,2
O.J. Mayo,Milwaukee,4,0,0,2,9-14,1-2,27:53,0,1,-1,21,0,2-6,2,1
Chris Wright,Milwaukee,3,1,1,2,4-5,1-3,26:07,2,4,+8,9,1,0-0,4,0
Jeff Adrien,Milwaukee,1,0,1,4,4-8,5-8,24:03,0,5,-6,13,1,0-0,4,0
John Henson,Milwaukee,2,3,0,2,3-8,1-2,24:02,2,3,+11,7,1,0-0,4,0
Ramon Sessions,Milwaukee,6,0,0,5,6-8,1-2,20:22,0,2,+1,13,0,0-1,5,3
Miroslav Raduljica,Milwaukee,0,0,0,1,0-0,0-0,4:07,0,3,-13,0,0,0-0,1,1
Rudy Gay,Sacramento,4,1,0,6,9-16,6-7,41:03,2,3,+10,24,0,0-4,8,3
Reggie Evans,Sacramento,0,0,2,5,1-5,4-4,27:14,5,4,+35,6,1,0-0,10,2
DeMarcus Cousins,Sacramento,4,1,0,10,14-19,4-6,29:07,2,3,+37,32,2,0-0,12,1
Isaiah Thomas,Sacramento,8,0,0,2,9-13,9-11,36:45,1,3,+34,30,0,3-4,3,1
Ben McLemore,Sacramento,0,0,0,3,6-15,0-0,34:06,1,1,+26,15,1,3-8,4,0
Derrick Williams,Sacramento,1,0,1,2,0-3,2-2,24:02,0,1,-16,2,0,0-2,2,0
Jason Thompson,Sacramento,0,1,1,2,1-2,2-4,17:17,0,3,-11,4,0,0-0,2,2
Travis Outlaw,Sacramento,0,0,1,0,2-6,0-0,14:00,0,3,-11,5,0,1-2,0,0
Ray McCallum,Sacramento,2,0,0,0,1-4,0-0,11:15,0,2,-17,2,0,0-0,0,1
Aaron Gray,Sacramento,0,0,1,1,1-2,2-2,4:22,2,0,-2,4,1,0-0,3,0
Royce White,Sacramento,0,0,0,0,0-1,0-0,0:48,0,0,+0,0,0,0-0,0,0
