Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Giannis Antetokounmpo,Milwaukee,1,0,0,3,4-10,0-0,30:05,1,2,-19,11,0,3-6,4,2
Ersan Ilyasova,Milwaukee,1,0,1,3,1-6,0-0,19:28,0,2,-5,2,0,0-1,3,0
Larry Sanders,Milwaukee,0,1,1,4,4-8,2-4,20:36,3,2,-5,10,4,0-0,7,0
Brandon Knight,Milwaukee,3,0,2,1,8-16,3-3,32:16,0,1,-14,21,0,2-4,1,3
Luke Ridnour,Milwaukee,3,0,0,0,1-5,0-0,11:02,0,1,-10,2,0,0-0,0,0
Khris Middleton,Milwaukee,2,0,0,0,4-7,0-2,26:27,0,1,-14,8,4,0-2,0,0
John Henson,Milwaukee,1,2,1,8,5-11,0-1,23:48,3,5,-15,10,1,0-0,11,0
Ekpe Udoh,Milwaukee,0,0,0,4,1-3,2-2,20:18,0,1,-5,4,1,0-0,4,0
O.J. Mayo,Milwaukee,2,2,0,1,0-4,0-0,19:02,0,0,-13,0,0,0-2,1,1
Gary Neal,Milwaukee,3,0,0,1,1-8,0-0,17:52,1,1,-18,3,0,1-5,2,1
Nate Wolters,Milwaukee,3,1,1,0,3-7,3-5,12:00,1,0,-4,9,0,0-1,1,0
Miroslav Raduljica,Milwaukee,0,0,2,2,1-3,0-0,7:06,1,2,-18,2,0,0-0,3,1
Tim Duncan,San Antonio,2,3,1,12,4-7,3-7,27:45,1,1,+14,11,0,0-0,13,0
Kawhi Leonard,San Antonio,1,1,0,5,5-9,1-1,20:58,0,1,+10,11,0,0-1,5,1
Boris Diaw,San Antonio,3,0,0,0,2-3,0-1,20:50,1,2,+2,4,0,0-0,1,4
Cory Joseph,San Antonio,3,0,0,3,4-8,2-2,26:01,1,2,+15,12,0,2-3,4,1
Marco Belinelli,San Antonio,3,0,0,3,5-8,2-2,25:43,0,1,+18,14,0,2-3,3,0
Patty Mills,San Antonio,7,0,2,2,8-12,0-0,26:43,0,2,+21,20,3,4-6,2,1
Nando De Colo,San Antonio,2,1,1,4,5-10,0-0,25:09,0,2,+6,13,2,3-4,4,1
Manu Ginobili,San Antonio,7,0,0,2,0-3,1-2,22:09,0,2,+18,1,1,0-1,2,3
Aron Baynes,San Antonio,0,1,1,5,4-6,1-1,15:19,1,1,+12,9,0,0-0,6,2
Jeff Ayres,San Antonio,0,0,1,4,5-6,3-3,14:43,2,2,+17,13,0,0-0,6,1
Malcolm Thomas,San Antonio,0,2,0,8,1-4,0-2,14:40,1,0,+7,2,0,0-0,9,1
