Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Mike Dunleavy,Milwaukee,5,0,0,2,5-8,2-2,30:19,0,3,+0,15,0,3-4,2,1
Marquis Daniels,Milwaukee,0,0,0,0,1-2,0-0,14:14,0,0,+0,2,3,0-1,0,0
Beno Udrih,Milwaukee,7,0,0,1,2-5,0-0,16:17,1,0,+0,5,0,1-2,2,2
Ersan Ilyasova,Milwaukee,1,0,0,5,3-6,2-2,25:39,0,4,+0,9,1,1-2,5,2
Monta Ellis,Milwaukee,3,1,0,1,7-17,2-2,33:46,0,4,+0,17,1,1-3,1,2
Luc Richard Mbah a Moute,Milwaukee,1,0,0,1,4-5,0-0,17:41,1,1,+0,8,0,0-1,2,0
Brandon Jennings,Milwaukee,10,0,0,2,5-13,7-7,31:43,2,2,+0,19,0,2-5,4,2
Ekpe Udoh,Milwaukee,1,1,0,2,1-2,0-0,20:04,0,4,+0,2,0,0-0,2,0
Larry Sanders,Milwaukee,1,2,0,5,4-6,3-6,27:56,3,4,+0,11,0,0-0,8,1
John Henson,Milwaukee,0,2,0,5,8-13,3-4,22:21,1,3,+0,19,0,0-1,6,2
Amir Johnson,Toronto,4,2,0,9,9-16,4-4,43:53,5,4,+0,22,3,0-0,14,4
Jose Calderon,Toronto,8,0,0,2,9-15,0-0,31:06,0,1,+0,21,1,3-4,2,0
Alan Anderson,Toronto,1,0,0,1,2-10,1-2,28:33,1,2,+0,5,1,0-5,2,3
Kyle Lowry,Toronto,6,0,0,2,0-4,0-0,16:54,0,0,+0,0,1,0-1,2,1
DeMar DeRozan,Toronto,2,0,0,3,7-19,9-10,37:20,2,4,+0,23,0,0-2,5,1
Ed Davis,Toronto,2,0,0,5,8-12,4-7,36:28,7,5,+0,20,1,0-0,12,1
Landry Fields,Toronto,2,0,0,0,1-5,1-2,29:11,1,4,+0,3,0,0-1,1,1
Terrence Ross,Toronto,0,0,0,0,0-1,0-0,3:23,0,0,+0,0,0,0-0,0,3
Quincy Acy,Toronto,0,0,0,1,0-3,2-2,13:12,1,1,+0,2,0,0-0,2,1
