Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Love,Minnesota,1,0,1,13,12-22,17-18,38:00,6,0,-9,43,1,2-3,19,3
Corey Brewer,Minnesota,5,0,0,2,5-7,0-0,31:42,1,4,-17,10,1,0-0,3,3
Ronny Turiaf,Minnesota,1,5,1,4,2-4,1-2,22:59,3,2,-13,5,0,0-0,7,4
Ricky Rubio,Minnesota,11,0,0,4,1-3,3-4,31:36,0,6,-11,5,5,0-1,4,3
Kevin Martin,Minnesota,1,0,0,0,5-14,6-7,23:02,0,3,-16,17,0,1-3,0,1
Dante Cunningham,Minnesota,0,1,0,2,2-5,2-2,25:01,1,3,+6,6,1,0-0,3,0
Alexey Shved,Minnesota,1,0,0,3,3-9,2-4,22:40,2,2,+5,9,1,1-4,5,1
J.J. Barea,Minnesota,4,0,2,2,5-11,0-0,16:29,0,2,+4,12,0,2-4,2,2
Chase Budinger,Minnesota,1,0,0,0,1-3,0-0,13:30,1,0,+13,2,0,0-0,1,0
Luc Richard Mbah a Moute,Minnesota,0,1,0,1,1-3,2-2,10:00,0,2,+2,4,0,0-0,1,0
A.J. Price,Minnesota,0,0,0,1,0-3,0-0,5:00,0,0,+1,0,0,0-1,1,0
Paul Millsap,Atlanta,2,1,1,9,9-18,2-3,31:43,4,6,+15,20,3,0-2,13,5
DeMarre Carroll,Atlanta,4,0,1,2,6-15,5-6,30:56,3,2,+14,19,3,2-6,5,0
Gustavo Ayon,Atlanta,1,0,2,3,1-4,0-0,20:26,1,4,+17,2,1,0-0,4,2
Kyle Korver,Atlanta,3,1,0,4,7-9,7-8,35:57,0,1,+9,24,0,3-5,4,1
Jeff Teague,Atlanta,8,1,2,2,6-15,6-6,31:30,1,4,+17,19,3,1-3,3,1
Lou Williams,Atlanta,5,0,0,3,2-5,2-2,22:37,1,3,-8,7,1,1-2,4,1
Elton Brand,Atlanta,0,1,1,5,4-10,0-1,22:19,2,4,-7,8,0,0-1,7,0
Mike Scott,Atlanta,3,0,0,3,5-9,3-4,21:13,3,2,-11,14,0,1-2,6,1
Shelvin Mack,Atlanta,2,0,0,0,3-7,0-0,17:10,0,1,-10,7,1,1-2,0,2
Dennis Schroder,Atlanta,2,0,0,2,0-0,0-0,6:09,0,0,-1,0,0,0-0,2,0
