Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Love,Minnesota,3,0,0,5,5-14,3-4,33:09,4,2,-1,14,0,1-3,9,2
Corey Brewer,Minnesota,2,0,0,2,9-13,3-4,30:08,1,3,+3,21,4,0-1,3,2
Nikola Pekovic,Minnesota,1,0,0,4,5-7,3-5,26:48,2,1,+8,13,2,0-0,6,3
Kevin Martin,Minnesota,3,0,2,3,9-16,2-4,38:52,0,4,-8,21,2,1-2,3,2
Ricky Rubio,Minnesota,12,0,0,3,2-7,3-4,30:51,1,4,+6,7,2,0-1,4,3
Gorgui Dieng,Minnesota,0,0,0,9,2-4,1-2,19:23,2,0,-23,5,2,0-0,11,3
Chase Budinger,Minnesota,1,0,1,2,2-6,2-2,16:52,0,2,-15,6,0,0-2,2,2
J.J. Barea,Minnesota,2,0,0,1,2-6,1-2,15:00,0,0,-18,6,0,1-3,1,2
Dante Cunningham,Minnesota,0,1,0,1,3-4,0-0,12:42,0,2,-11,6,0,0-0,1,0
Luc Richard Mbah a Moute,Minnesota,0,0,3,0,0-4,0-0,9:13,2,0,-5,0,0,0-0,2,0
Robbie Hummel,Minnesota,0,0,0,0,0-1,0-0,2:44,0,0,-5,0,0,0-0,0,0
Shabazz Muhammad,Minnesota,0,0,0,0,0-1,0-0,2:09,0,0,-3,0,0,0-0,0,0
Alexey Shved,Minnesota,0,0,0,0,0-0,0-0,2:09,0,0,-3,0,0,0-0,0,1
Joe Johnson,Brooklyn,3,0,0,3,8-13,2-3,29:40,1,1,+5,19,0,1-5,4,1
Paul Pierce,Brooklyn,0,0,0,5,8-11,1-2,25:45,0,4,+7,22,2,5-8,5,2
Mason Plumlee,Brooklyn,0,1,0,5,4-7,5-6,22:43,3,3,+4,13,0,0-0,8,2
Deron Williams,Brooklyn,5,0,0,3,1-9,3-4,31:54,0,4,+0,6,2,1-3,3,2
Shaun Livingston,Brooklyn,4,2,0,2,4-5,5-6,26:05,0,0,+10,13,0,0-0,2,3
Alan Anderson,Brooklyn,1,1,0,3,5-10,0-0,31:39,2,2,+14,13,1,3-7,5,2
Mirza Teletovic,Brooklyn,2,0,1,3,3-10,0-0,22:15,3,2,+8,7,1,1-5,6,1
Andray Blatche,Brooklyn,2,2,0,2,7-11,0-1,20:34,4,2,+19,14,2,0-0,6,5
Marcus Thornton,Brooklyn,1,0,0,1,2-6,0-0,14:47,0,2,+12,5,1,1-3,1,0
Jorge Gutierrez,Brooklyn,3,0,0,1,1-4,0-0,8:31,0,1,+4,2,3,0-2,1,2
Jason Collins,Brooklyn,0,0,0,0,0-0,0-0,4:43,1,1,-8,0,0,0-0,1,0
Marquis Teague,Brooklyn,0,0,0,1,0-0,0-0,1:24,0,0,+0,0,1,0-0,1,0
