Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luke Ridnour,Minnesota,3,2,0,3,2-7,3-3,29:49,0,0,+0,7,1,0-4,3,2
Mickael Gelabale,Minnesota,3,1,0,3,8-10,1-1,31:24,1,4,+0,19,0,2-2,4,0
J.J. Barea,Minnesota,4,0,0,2,6-14,0-0,27:06,0,5,+0,15,3,3-6,2,3
Ricky Rubio,Minnesota,6,0,0,4,4-9,3-4,29:00,0,3,+0,11,0,0-1,4,3
Dante Cunningham,Minnesota,0,0,0,1,4-8,0-0,23:51,3,2,+0,8,0,0-0,4,3
Greg Stiemsma,Minnesota,2,2,0,2,4-7,0-0,29:14,2,2,+0,8,1,0-0,4,3
Chris Johnson,Minnesota,1,2,0,7,1-4,0-0,18:04,1,1,+0,2,0,0-0,8,4
Derrick Williams,Minnesota,1,0,0,5,4-14,5-9,28:44,1,2,+0,13,0,0-1,6,1
Alexey Shved,Minnesota,3,0,0,3,2-11,1-2,22:48,2,2,+0,5,0,0-4,5,3
Andre Miller,Denver,6,0,0,2,3-6,2-2,22:27,0,1,+0,8,2,0-1,2,2
Andre Iguodala,Denver,3,3,0,3,4-10,2-3,32:08,2,2,+0,11,4,1-1,5,1
Corey Brewer,Denver,2,0,0,1,7-13,1-2,24:47,0,1,+0,15,2,0-2,1,2
Wilson Chandler,Denver,2,0,0,5,2-5,2-4,20:35,0,5,+0,7,1,1-2,5,3
Danilo Gallinari,Denver,6,0,0,5,2-7,5-5,28:12,0,0,+0,11,1,2-5,5,1
Anthony Randolph,Denver,0,1,0,0,0-1,0-0,4:24,0,0,+0,0,0,0-0,0,0
JaVale McGee,Denver,0,2,0,3,4-4,0-0,12:22,0,4,+0,8,1,0-0,3,3
Kosta Koufos,Denver,0,1,0,7,4-5,0-0,22:05,1,1,+0,8,1,0-0,8,1
Ty Lawson,Denver,3,0,0,1,12-17,4-4,33:39,0,3,+0,32,1,4-4,1,4
Timofey Mozgov,Denver,0,1,0,0,0-0,0-0,5:57,0,1,+0,0,0,0-0,0,1
Kenneth Faried,Denver,1,0,0,8,2-5,0-0,25:07,3,2,+0,4,0,0-0,11,1
Jordan Hamilton,Denver,0,0,0,0,2-4,0-0,3:53,0,0,+0,5,0,1-1,0,0
Evan Fournier,Denver,0,0,0,2,0-1,2-2,4:24,0,1,+0,2,0,0-1,2,0
