Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Love,Minnesota,7,0,1,10,6-15,10-10,30:03,6,1,+19,26,0,4-6,16,4
Corey Brewer,Minnesota,4,0,0,0,5-10,0-0,28:12,0,1,+21,11,1,1-5,0,1
Nikola Pekovic,Minnesota,0,0,1,3,7-14,4-6,32:51,2,2,+16,18,0,0-0,5,2
Kevin Martin,Minnesota,1,0,0,2,5-9,5-5,30:13,0,0,+23,18,4,3-5,2,1
Ricky Rubio,Minnesota,9,0,1,3,5-9,4-4,28:15,1,3,+15,15,2,1-2,4,0
Dante Cunningham,Minnesota,0,0,0,6,3-6,0-0,25:07,2,3,+11,6,3,0-0,8,1
Alexey Shved,Minnesota,3,0,0,2,0-3,2-2,17:47,0,2,+4,2,1,0-1,2,2
J.J. Barea,Minnesota,6,0,1,2,4-8,1-2,17:09,0,1,+9,10,0,1-3,2,0
Luc Richard Mbah a Moute,Minnesota,1,0,1,1,0-1,0-2,12:20,1,1,+1,0,1,0-0,2,0
Robbie Hummel,Minnesota,0,0,0,1,4-6,0-0,10:15,2,1,+7,8,0,0-0,3,0
Gorgui Dieng,Minnesota,0,0,0,1,0-1,0-0,2:36,0,1,+3,0,0,0-0,1,0
Shabazz Muhammad,Minnesota,0,0,0,0,0-0,2-2,2:36,0,0,+3,2,0,0-0,0,0
A.J. Price,Minnesota,0,0,0,1,2-3,0-0,2:36,0,0,+3,5,0,1-2,1,1
Josh Smith,Detroit,3,1,0,4,7-14,2-4,33:38,0,1,-18,17,1,1-5,4,1
Greg Monroe,Detroit,3,0,0,2,5-7,0-0,20:15,0,3,-14,10,1,0-0,2,2
Andre Drummond,Detroit,0,2,0,4,4-9,0-1,28:38,4,2,-19,8,0,0-0,8,1
Kentavious Caldwell-Pope,Detroit,0,1,0,3,7-14,0-0,32:41,1,3,-22,16,0,2-6,4,2
Brandon Jennings,Detroit,7,0,0,4,8-16,2-5,31:12,0,2,-19,20,1,2-7,4,6
Jonas Jerebko,Detroit,1,0,0,3,2-3,1-2,21:10,1,3,-9,5,0,0-0,4,4
Chauncey Billups,Detroit,5,0,0,0,2-7,2-2,17:50,0,3,-4,7,0,1-3,0,0
Josh Harrellson,Detroit,1,0,0,2,2-4,0-0,12:48,1,2,-6,4,0,0-2,3,1
Kyle Singler,Detroit,0,0,0,2,0-0,0-0,11:11,0,4,+0,0,0,0-0,2,0
Tony Mitchell,Detroit,0,1,0,1,1-1,1-2,9:34,3,0,-4,4,1,1-1,4,2
Charlie Villanueva,Detroit,0,0,0,1,1-2,0-0,8:02,0,0,-9,3,0,1-2,1,0
Peyton Siva,Detroit,2,0,0,1,0-0,0-0,7:01,0,0,-6,0,0,0-0,1,1
Luigi Datome,Detroit,0,0,0,1,0-6,0-0,6:00,1,1,-5,0,0,0-2,2,0
