Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Andrei Kirilenko,Minnesota,2,2,0,4,4-7,6-6,21:24,0,2,+0,15,0,1-1,4,1
Luke Ridnour,Minnesota,3,0,0,2,4-6,0-0,21:08,1,1,+0,8,1,0-0,3,0
Mickael Gelabale,Minnesota,0,0,0,1,1-3,0-0,5:22,0,1,+0,2,0,0-1,1,0
J.J. Barea,Minnesota,4,0,0,3,4-10,2-3,20:29,0,1,+0,13,1,3-7,3,2
Nikola Pekovic,Minnesota,0,2,0,6,2-8,1-2,25:48,1,3,+0,5,1,0-0,7,1
Ricky Rubio,Minnesota,6,0,0,5,0-10,5-6,22:09,0,2,+0,5,1,0-3,5,2
Dante Cunningham,Minnesota,1,0,0,2,5-10,1-1,24:00,1,2,+0,11,1,0-0,3,2
Chase Budinger,Minnesota,1,0,0,3,7-15,1-2,26:36,3,2,+0,17,0,2-4,6,1
Greg Stiemsma,Minnesota,3,2,0,9,3-7,0-0,22:12,0,1,+0,6,0,0-0,9,0
Chris Johnson,Minnesota,0,0,0,0,0-0,0-0,3:39,0,0,+0,0,0,0-0,0,0
Derrick Williams,Minnesota,0,0,0,0,2-8,0-0,20:21,0,1,+0,5,0,1-1,0,0
Alexey Shved,Minnesota,9,0,0,3,1-6,0-0,26:52,0,2,+0,2,1,0-2,3,1
Richard Jefferson,Golden State,0,0,0,0,2-3,0-0,6:09,1,0,+0,4,0,0-1,1,0
Andrew Bogut,Golden State,2,3,0,13,1-3,0-2,29:57,1,3,+0,2,0,0-0,14,3
Jarrett Jack,Golden State,2,1,0,4,2-8,0-0,23:17,0,4,+0,4,0,0-1,4,0
David Lee,Golden State,5,1,0,9,6-12,3-4,32:47,3,0,+0,15,1,0-1,12,4
Carl Landry,Golden State,1,0,0,1,2-7,1-1,17:55,0,0,+0,5,0,0-0,1,0
Stephen Curry,Golden State,10,1,0,3,9-21,4-5,39:10,1,4,+0,24,1,2-9,4,3
Klay Thompson,Golden State,2,0,0,3,10-19,4-4,35:36,0,4,+0,30,5,6-10,3,2
Harrison Barnes,Golden State,1,0,0,7,6-11,2-2,25:48,3,3,+0,15,0,1-1,10,1
Festus Ezeli,Golden State,0,0,0,5,0-2,3-4,15:13,3,1,+0,3,0,0-0,8,0
Draymond Green,Golden State,1,0,0,2,0-3,0-0,8:04,0,0,+0,0,0,0-0,2,0
Kent Bazemore,Golden State,0,0,0,1,1-2,0-0,6:04,0,0,+0,3,0,1-1,1,0
