Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Love,Minnesota,2,0,0,13,6-20,7-8,41:04,4,1,-5,20,1,1-5,17,5
Corey Brewer,Minnesota,1,1,1,1,3-12,3-4,40:09,0,3,-14,9,1,0-5,1,6
Nikola Pekovic,Minnesota,0,0,1,6,7-15,4-6,37:22,5,3,-10,18,0,0-0,11,3
Kevin Martin,Minnesota,3,0,1,1,4-14,8-8,37:47,0,2,-14,18,0,2-5,1,1
Ricky Rubio,Minnesota,7,0,1,7,3-9,1-2,35:50,2,3,-14,7,5,0-2,9,2
J.J. Barea,Minnesota,2,0,1,1,3-11,0-0,19:27,0,2,-4,6,0,0-2,1,1
Dante Cunningham,Minnesota,0,0,0,2,3-7,0-0,17:34,2,1,-13,6,0,0-0,4,1
Robbie Hummel,Minnesota,0,0,0,1,0-1,0-0,10:47,2,3,+4,0,2,0-0,3,0
Paul George,Indiana,4,1,1,8,10-16,2-4,39:20,0,2,+14,26,4,4-4,8,6
David West,Indiana,3,0,0,3,6-12,1-2,28:31,1,3,+9,13,0,0-1,4,2
Roy Hibbert,Indiana,1,1,0,3,2-7,0-0,27:25,2,4,+1,4,1,0-0,5,2
George Hill,Indiana,7,1,0,3,9-13,5-6,39:02,0,4,+6,26,5,3-4,3,2
Lance Stephenson,Indiana,2,0,0,5,5-12,0-0,29:36,3,3,+14,11,1,1-2,8,3
Ian Mahinmi,Indiana,0,2,0,3,3-5,1-2,20:36,1,3,+13,7,1,0-0,4,0
Luis Scola,Indiana,1,0,0,8,4-10,1-1,19:29,0,2,+5,9,0,0-0,8,2
Orlando Johnson,Indiana,0,0,0,5,1-3,0-2,18:50,0,2,+0,2,0,0-2,5,2
C.J. Watson,Indiana,1,0,0,0,0-2,0-0,17:12,0,1,+8,0,1,0-2,0,1
