Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Luke Ridnour,Minnesota,4,3,0,1,7-10,3-3,32:50,0,1,+0,19,1,2-4,1,0
Mickael Gelabale,Minnesota,0,0,0,3,1-3,0-0,16:17,1,1,+0,2,2,0-2,4,0
J.J. Barea,Minnesota,5,0,0,3,8-14,2-2,25:29,1,1,+0,20,0,2-3,4,2
Nikola Pekovic,Minnesota,0,0,0,2,4-6,0-0,9:19,1,0,+0,8,0,0-0,3,1
Ricky Rubio,Minnesota,13,0,0,5,5-11,2-2,32:57,3,2,+0,13,1,1-3,8,4
Dante Cunningham,Minnesota,0,1,0,3,2-7,1-2,32:41,0,2,+0,5,2,0-0,3,0
Greg Stiemsma,Minnesota,1,0,0,1,1-3,0-0,12:57,0,5,+0,2,0,0-0,1,1
Chris Johnson,Minnesota,1,1,0,2,2-5,1-2,17:54,0,3,+0,5,1,0-0,2,0
Derrick Williams,Minnesota,1,1,0,8,6-14,2-2,39:19,0,2,+0,15,0,1-4,8,3
Alexey Shved,Minnesota,1,0,0,1,1-8,2-2,20:17,0,2,+0,5,2,1-5,1,1
Steve Nash,LA Lakers,7,0,0,0,4-12,0-0,24:47,0,0,+0,10,0,2-4,0,0
Kobe Bryant,LA Lakers,5,0,0,4,13-22,3-7,31:33,1,1,+0,33,2,4-8,5,3
Antawn Jamison,LA Lakers,0,0,0,3,7-11,2-4,26:24,5,2,+0,17,0,1-1,8,2
Metta World Peace,LA Lakers,2,0,0,4,2-7,0-0,28:22,0,4,+0,6,1,2-4,4,1
Steve Blake,LA Lakers,6,0,0,6,4-6,2-2,24:59,1,3,+0,13,0,3-5,7,0
Dwight Howard,LA Lakers,1,4,0,10,5-6,1-4,33:24,3,5,+0,11,1,0-0,13,3
Chris Duhon,LA Lakers,3,0,0,0,0-1,0-0,5:47,0,2,+0,0,0,0-1,0,1
Earl Clark,LA Lakers,4,2,0,3,1-3,2-2,29:51,1,2,+0,4,3,0-0,4,2
Jodie Meeks,LA Lakers,1,0,0,1,5-11,2-2,22:23,2,0,+0,16,0,4-9,3,1
Devin Ebanks,LA Lakers,0,0,0,3,1-1,0-0,2:24,0,0,+0,2,0,0-0,3,1
Darius Morris,LA Lakers,1,0,0,1,0-1,0-0,5:03,0,1,+0,0,0,0-0,1,0
Robert Sacre,LA Lakers,0,0,0,1,2-2,0-0,5:03,0,0,+0,4,0,0-0,1,0
