Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dante Cunningham,Minnesota,3,3,0,5,9-13,0-0,42:35,3,3,-16,18,3,0-0,8,2
Luc Richard Mbah a Moute,Minnesota,0,0,1,2,3-7,2-2,26:37,2,2,-8,8,0,0-1,4,2
Ronny Turiaf,Minnesota,1,4,0,4,1-2,2-2,28:13,0,3,+3,4,0,0-0,4,0
Ricky Rubio,Minnesota,5,0,1,7,6-12,6-11,33:07,1,0,-11,19,0,1-3,8,4
Kevin Martin,Minnesota,1,0,1,2,4-10,0-0,23:03,0,0,-10,8,2,0-1,2,0
Chase Budinger,Minnesota,0,0,0,2,2-6,2-2,21:23,1,3,-1,7,1,1-4,3,2
Robbie Hummel,Minnesota,1,1,0,1,2-5,0-0,17:16,0,0,-3,5,0,1-3,1,0
Alexey Shved,Minnesota,1,0,1,1,2-7,3-4,17:09,0,0,+0,8,0,1-3,1,2
J.J. Barea,Minnesota,4,0,0,1,4-6,2-2,15:22,1,1,-4,11,1,1-2,2,1
Gorgui Dieng,Minnesota,1,0,2,3,0-4,0-0,7:56,2,3,-2,0,0,0-0,5,1
Shabazz Muhammad,Minnesota,1,0,0,0,3-5,0-0,6:01,1,1,+3,6,0,0-2,1,0
A.J. Price,Minnesota,0,0,0,0,1-1,0-0,1:18,0,0,+4,3,0,1-1,0,0
Kevin Durant,Oklahoma City,7,0,1,7,11-20,1-1,36:52,2,2,+11,26,1,3-5,9,4
Serge Ibaka,Oklahoma City,1,3,0,2,7-12,0-0,32:04,5,3,+8,14,0,0-0,7,4
Kendrick Perkins,Oklahoma City,2,0,3,7,2-7,2-3,21:27,5,4,+7,6,1,0-0,12,2
Reggie Jackson,Oklahoma City,9,0,1,2,9-14,0-0,35:33,1,4,+17,20,2,2-3,3,1
Thabo Sefolosha,Oklahoma City,2,1,1,4,3-12,5-6,31:54,2,0,+9,12,1,1-8,6,0
Perry Jones,Oklahoma City,0,1,0,2,3-7,0-0,22:30,1,0,+6,6,0,0-2,3,0
Jeremy Lamb,Oklahoma City,1,0,1,2,3-10,0-0,17:24,1,5,-4,7,3,1-4,3,1
Derek Fisher,Oklahoma City,2,0,0,2,5-7,0-1,16:39,0,2,-1,13,0,3-5,2,1
Nick Collison,Oklahoma City,1,0,1,1,1-2,0-0,16:08,1,1,+5,2,0,0-0,2,1
Steven Adams,Oklahoma City,0,1,0,1,0-0,0-0,8:11,1,0,-9,0,0,0-0,2,1
Andre Roberson,Oklahoma City,0,0,0,0,0-0,0-0,1:18,0,1,-4,0,0,0-0,0,1
