Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Dante Cunningham,Minnesota,2,3,1,5,5-8,2-2,33:43,0,4,+18,12,3,0-1,5,1
Corey Brewer,Minnesota,1,0,1,1,7-9,3-7,32:46,0,2,+14,18,2,1-1,1,3
Kevin Love,Minnesota,9,2,2,10,10-22,10-14,38:58,3,1,+16,33,0,3-6,13,3
Ricky Rubio,Minnesota,11,0,2,3,3-8,1-1,35:29,0,3,+15,7,3,0-1,3,2
Chase Budinger,Minnesota,0,0,0,2,4-9,1-2,29:48,0,2,+2,10,0,1-4,2,1
Shabazz Muhammad,Minnesota,1,0,2,3,8-13,4-6,24:20,3,2,+8,20,2,0-0,6,1
Luc Richard Mbah a Moute,Minnesota,0,0,1,3,1-4,0-0,16:00,1,1,-12,2,0,0-0,4,0
J.J. Barea,Minnesota,0,0,0,0,3-9,0-0,14:19,1,4,-1,6,0,0-3,1,3
Robbie Hummel,Minnesota,0,0,0,0,0-2,0-0,5:03,0,1,-5,0,0,0-2,0,0
Gorgui Dieng,Minnesota,0,0,0,0,1-2,0-0,4:47,1,1,-5,2,0,0-0,1,1
Alexey Shved,Minnesota,0,0,0,1,0-1,0-0,4:47,1,0,-5,0,1,0-0,2,0
P.J. Tucker,Phoenix,0,2,1,8,2-11,2-4,38:10,7,3,-15,6,1,0-2,15,2
Channing Frye,Phoenix,2,1,0,2,2-6,0-0,25:27,1,5,-23,4,0,0-3,3,3
Miles Plumlee,Phoenix,0,2,0,4,3-7,0-0,16:59,3,1,+0,6,1,0-0,7,2
Gerald Green,Phoenix,1,1,0,4,7-15,4-4,32:21,3,4,-3,19,0,1-5,7,4
Goran Dragic,Phoenix,3,2,1,3,7-13,1-1,24:40,0,6,-17,16,0,1-2,3,2
Markieff Morris,Phoenix,2,0,1,2,9-20,6-8,32:59,1,5,-3,24,1,0-1,3,1
Ish Smith,Phoenix,7,0,1,2,3-6,1-1,28:46,1,0,+4,7,4,0-0,3,2
Marcus Morris,Phoenix,4,1,0,4,4-8,0-0,24:20,0,5,+13,9,2,1-1,4,2
Archie Goodwin,Phoenix,0,0,1,3,5-9,0-0,16:18,2,1,-1,10,1,0-1,5,1
