Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Love,Minnesota,4,1,1,12,4-12,6-6,36:23,1,2,+5,15,1,1-3,13,3
Corey Brewer,Minnesota,1,2,0,1,5-8,0-0,24:15,1,4,+6,11,2,1-2,2,2
Nikola Pekovic,Minnesota,2,0,1,8,9-18,5-5,34:45,3,2,+7,23,0,0-0,11,0
Kevin Martin,Minnesota,3,1,2,3,11-22,2-4,41:12,1,4,+3,30,0,6-10,4,0
Ricky Rubio,Minnesota,11,0,0,2,4-8,2-2,37:09,1,4,+3,10,2,0-2,3,2
Chase Budinger,Minnesota,0,0,0,4,2-7,1-2,23:45,0,1,-17,6,0,1-3,4,0
Ronny Turiaf,Minnesota,0,1,0,0,1-2,0-0,12:03,1,1,-19,2,0,0-0,1,1
J.J. Barea,Minnesota,2,0,0,1,0-4,0-0,10:54,0,2,-17,0,0,0-1,1,1
Dante Cunningham,Minnesota,0,0,1,1,0-4,0-0,10:25,0,2,-17,0,0,0-0,1,0
Alexey Shved,Minnesota,1,0,0,0,1-3,3-3,5:33,0,0,-12,5,0,0-1,0,1
Gorgui Dieng,Minnesota,0,0,0,0,1-1,0-0,1:12,0,0,+1,2,0,0-0,0,0
Luc Richard Mbah a Moute,Minnesota,0,0,0,0,0-0,0-0,1:12,0,0,+1,0,0,0-0,0,0
A.J. Price,Minnesota,0,0,0,0,0-0,0-0,1:12,0,0,+1,0,0,0-0,0,0
Nicolas Batum,Portland,5,0,2,7,5-10,3-4,34:53,1,3,-5,13,1,0-3,8,1
LaMarcus Aldridge,Portland,1,1,0,3,9-21,3-3,33:59,3,4,-8,21,1,0-0,6,2
Robin Lopez,Portland,3,1,0,7,6-10,3-3,34:05,3,1,-5,15,0,0-0,10,1
Wesley Matthews,Portland,2,1,0,5,6-10,5-8,34:01,1,3,+5,18,1,1-5,6,2
Damian Lillard,Portland,5,0,1,1,5-17,3-3,32:41,0,2,-8,14,1,1-4,1,3
Mo Williams,Portland,6,0,1,4,6-12,2-3,25:14,1,3,+20,16,0,2-3,5,2
C.J. McCollum,Portland,2,1,1,2,3-6,0-0,15:34,0,2,+19,6,2,0-1,2,0
Thomas Robinson,Portland,1,1,0,3,3-6,0-0,14:01,3,2,+19,6,1,0-0,6,0
Joel Freeland,Portland,1,0,0,5,2-2,0-0,13:40,1,3,+16,4,0,0-0,6,1
Will Barton,Portland,0,0,0,0,1-1,0-0,0:56,0,0,+1,2,0,0-0,0,0
Earl Watson,Portland,0,0,0,0,0-0,0-0,0:56,0,0,+1,0,0,0-0,0,0
