Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Kevin Love,Minnesota,7,0,2,10,7-15,4-5,37:54,3,1,+26,19,0,1-6,13,2
Corey Brewer,Minnesota,2,2,1,4,7-11,4-4,33:00,0,3,+25,19,1,1-3,4,0
Nikola Pekovic,Minnesota,2,0,0,7,7-14,4-4,32:09,2,4,+26,18,0,0-0,9,2
Ricky Rubio,Minnesota,13,0,0,3,3-5,4-4,39:05,2,3,+20,11,5,1-2,5,1
Kevin Martin,Minnesota,2,0,0,4,5-16,6-6,27:18,0,2,+24,18,1,2-5,4,1
J.J. Barea,Minnesota,3,0,1,1,6-11,0-0,21:21,0,1,-9,15,1,3-5,1,1
Ronny Turiaf,Minnesota,0,0,0,1,1-1,0-1,13:30,0,3,-7,2,0,0-0,1,0
Chase Budinger,Minnesota,2,0,0,1,0-4,0-0,12:39,0,1,-6,0,0,0-0,1,1
Dante Cunningham,Minnesota,0,0,1,3,3-8,0-0,10:06,1,1,-11,6,0,0-0,4,0
Luc Richard Mbah a Moute,Minnesota,0,0,0,0,0-0,0-0,6:25,0,0,-9,0,0,0-0,0,0
Gorgui Dieng,Minnesota,0,0,0,0,1-2,0-0,2:21,0,0,-4,2,0,0-0,0,0
Shabazz Muhammad,Minnesota,0,0,0,0,1-2,0-0,2:21,0,0,-4,2,0,0-0,0,0
Alexey Shved,Minnesota,0,0,1,0,0-1,0-0,1:51,0,0,+4,0,0,0-0,0,0
Marvin Williams,Utah,0,2,0,3,2-6,0-0,18:39,1,4,-15,4,0,0-1,4,0
Richard Jefferson,Utah,1,0,0,2,2-5,0-0,17:45,0,3,-17,4,1,0-2,2,1
Enes Kanter,Utah,1,0,0,5,2-8,0-0,20:44,1,3,-25,4,0,0-0,6,2
Gordon Hayward,Utah,5,0,2,5,10-17,5-6,36:20,0,3,-20,27,3,2-5,5,3
Trey Burke,Utah,5,1,0,2,4-10,0-0,29:08,0,2,-20,9,0,1-3,2,2
Jeremy Evans,Utah,2,0,0,3,5-11,0-0,29:21,2,3,+0,10,0,0-0,5,0
Alec Burks,Utah,3,0,0,4,6-14,5-6,29:20,0,2,+0,18,0,1-1,4,2
Rudy Gobert,Utah,1,3,0,4,4-5,0-0,27:16,2,0,+10,8,1,0-0,6,1
John Lucas III,Utah,0,0,0,2,4-5,0-0,18:52,1,3,+5,8,0,0-1,3,1
Brandon Rush,Utah,1,0,0,2,1-3,0-0,7:14,0,0,-1,2,0,0-2,2,1
Diante Garrett,Utah,1,0,0,1,0-0,0-0,3:00,0,0,+4,0,0,0-0,1,0
Ian Clark,Utah,2,0,0,1,1-3,0-0,2:21,0,0,+4,3,0,1-2,1,0
