Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Roger Mason Jr.,New Orleans,1,1,0,0,1-4,0-0,25:45,0,2,+0,2,0,0-3,0,1
Jason Smith,New Orleans,2,0,0,1,4-4,0-0,17:16,2,3,+0,8,1,0-0,3,2
Robin Lopez,New Orleans,0,0,0,2,7-11,3-4,26:25,4,3,+0,17,0,0-0,6,2
Ryan Anderson,New Orleans,2,0,0,4,3-11,3-3,25:22,2,3,+0,10,1,1-5,6,2
Al-Farouq Aminu,New Orleans,1,0,0,8,3-9,12-13,27:28,1,4,+0,18,2,0-0,9,2
Xavier Henry,New Orleans,0,0,0,3,0-2,0-0,17:39,0,1,+0,0,0,0-1,3,0
Greivis Vasquez,New Orleans,4,0,0,11,5-16,4-5,40:57,0,2,+0,15,0,1-7,11,6
Donald Sloan,New Orleans,0,0,0,0,0-0,0-0,1:12,0,0,+0,0,0,0-0,0,0
Lance Thomas,New Orleans,0,0,0,0,0-0,0-0,3:28,0,1,+0,0,0,0-0,0,1
Anthony Davis,New Orleans,1,2,0,8,4-5,2-2,26:46,2,0,+0,10,1,0-0,10,1
Austin Rivers,New Orleans,1,0,0,0,3-6,2-4,22:43,0,2,+0,8,0,0-0,0,0
Brian Roberts,New Orleans,0,0,0,0,1-3,0-0,4:59,0,0,+0,2,0,0-1,0,0
Kevin Garnett,Boston,0,0,0,4,7-12,1-2,29:31,0,3,+0,15,1,0-0,4,3
Paul Pierce,Boston,4,0,0,10,5-16,1-3,30:49,0,6,+0,12,1,1-7,10,2
Jason Terry,Boston,1,0,0,0,5-10,0-0,24:18,0,0,+0,12,1,2-4,0,1
Jason Collins,Boston,0,1,0,0,0-0,0-0,4:28,0,1,+0,0,0,0-0,0,0
Leandro Barbosa,Boston,0,0,0,0,3-4,0-0,2:41,0,1,+0,7,0,1-1,0,0
Brandon Bass,Boston,1,0,0,4,4-6,1-2,32:33,3,1,+0,9,1,0-0,7,1
Rajon Rondo,Boston,11,0,0,1,3-8,1-3,32:54,2,0,+0,7,3,0-0,3,5
Jeff Green,Boston,0,2,0,4,2-4,0-2,24:39,1,3,+0,4,0,0-1,5,1
Courtney Lee,Boston,3,0,0,2,1-5,2-2,15:58,0,0,+0,4,0,0-3,2,1
Avery Bradley,Boston,1,0,0,0,2-4,0-2,21:35,0,2,+0,4,3,0-2,0,0
Jared Sullinger,Boston,1,1,0,2,2-5,0-0,20:34,0,4,+0,4,1,0-0,2,1
