Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Roger Mason Jr.,New Orleans,2,1,0,3,3-6,0-0,24:23,0,1,+0,7,0,1-3,3,1
Louis Amundson,New Orleans,0,0,0,0,0-1,0-0,3:52,0,3,+0,0,0,0-0,0,0
Eric Gordon,New Orleans,3,0,0,0,8-17,5-5,32:34,0,1,+0,24,1,3-8,0,1
Robin Lopez,New Orleans,0,1,0,3,6-10,3-3,37:10,5,4,+0,15,0,0-0,8,2
Al-Farouq Aminu,New Orleans,0,0,0,3,1-4,0-0,22:13,0,3,+0,2,0,0-0,3,1
Greivis Vasquez,New Orleans,14,0,0,1,6-15,0-0,40:03,0,3,+0,13,1,1-5,1,3
Lance Thomas,New Orleans,1,1,0,2,4-4,4-4,17:44,2,2,+0,12,2,0-0,4,2
Anthony Davis,New Orleans,2,5,0,7,9-14,1-3,37:14,4,3,+0,19,1,0-0,11,1
Darius Miller,New Orleans,0,1,0,1,0-1,0-0,12:42,0,3,+0,0,1,0-0,1,1
Brian Roberts,New Orleans,1,0,0,0,3-6,0-0,12:05,0,2,+0,6,0,0-0,0,1
Gerald Wallace,Brooklyn,0,0,0,3,3-9,7-9,28:35,5,1,+0,13,2,0-1,8,0
Reggie Evans,Brooklyn,0,0,0,6,3-5,0-0,23:12,7,4,+0,6,0,0-0,13,2
Keith Bogans,Brooklyn,0,0,0,0,1-3,0-0,17:15,0,0,+0,3,0,1-3,0,1
Deron Williams,Brooklyn,13,0,0,2,7-19,5-7,39:05,0,2,+0,21,3,2-8,2,2
Andray Blatche,Brooklyn,3,1,0,1,9-15,0-0,28:33,4,1,+0,18,0,0-0,5,0
C.J. Watson,Brooklyn,1,0,0,3,1-5,1-2,33:24,1,1,+0,4,1,1-2,4,2
Brook Lopez,Brooklyn,0,3,0,4,10-15,6-8,32:20,1,1,+0,26,1,0-0,5,0
MarShon Brooks,Brooklyn,0,0,0,2,5-6,4-5,22:23,1,2,+0,14,0,0-0,3,0
Tyshawn Taylor,Brooklyn,0,0,0,1,0-1,0-0,3:18,0,0,+0,0,0,0-1,1,1
Mirza Teletovic,Brooklyn,0,0,0,1,1-2,0-0,11:55,0,2,+0,3,1,1-1,1,1
