Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ryan Anderson,New Orleans,0,0,0,3,6-16,7-7,29:22,3,2,-19,21,0,2-6,6,0
Al-Farouq Aminu,New Orleans,2,1,0,6,4-7,2-2,26:39,2,0,-14,10,2,0-0,8,1
Jason Smith,New Orleans,2,1,0,3,6-10,0-0,22:28,1,1,-19,12,0,0-0,4,1
Jrue Holiday,New Orleans,6,0,0,2,4-9,3-3,27:28,1,3,-19,11,1,0-1,3,3
Eric Gordon,New Orleans,1,0,1,2,1-9,2-2,24:12,0,1,-17,5,1,1-3,2,2
Austin Rivers,New Orleans,0,0,1,4,4-12,3-6,27:02,0,2,+2,11,2,0-1,4,0
Darius Miller,New Orleans,3,0,0,2,1-5,0-0,23:22,0,3,+6,2,0,0-2,2,0
Brian Roberts,New Orleans,4,0,0,4,1-6,4-4,20:32,0,0,+8,6,0,0-2,4,0
Louis Amundson,New Orleans,2,0,0,4,2-4,1-6,16:16,3,6,+2,5,2,0-0,7,3
Anthony Morrow,New Orleans,1,1,0,2,3-9,0-0,15:41,0,1,+7,8,0,2-3,2,0
Jeff Withey,New Orleans,1,0,0,0,1-1,0-0,6:58,2,1,+8,2,0,0-0,2,0
David Lee,Golden State,2,0,0,11,10-15,1-2,33:33,6,2,+18,21,2,0-0,17,1
Andre Iguodala,Golden State,3,0,1,0,1-4,0-0,17:23,0,3,+20,2,0,0-2,0,1
Andrew Bogut,Golden State,0,1,0,8,4-5,0-0,20:40,2,1,+13,8,0,0-0,10,1
Klay Thompson,Golden State,6,0,0,1,6-14,3-4,36:47,0,4,+17,16,0,1-4,1,2
Stephen Curry,Golden State,11,0,0,3,11-19,4-4,32:40,1,3,+22,28,3,2-7,4,3
Draymond Green,Golden State,1,0,2,5,2-10,2-4,27:11,2,3,-5,7,0,1-2,7,1
Harrison Barnes,Golden State,1,0,0,3,3-8,1-2,23:41,1,2,-7,8,0,1-2,4,0
Marreese Speights,Golden State,0,0,0,4,4-11,4-5,18:07,2,2,-4,12,0,0-0,6,1
Toney Douglas,Golden State,1,0,0,1,0-2,1-1,15:18,1,0,-1,1,1,0-2,2,1
Kent Bazemore,Golden State,0,1,0,2,0-1,1-2,6:21,0,2,-9,1,0,0-0,2,1
Hilton Armstrong,Golden State,0,0,0,3,0-0,0-0,4:49,2,0,-1,0,0,0-0,5,0
Nemanja Nedovic,Golden State,0,0,0,0,0-2,0-0,3:30,0,1,-8,0,0,0-1,0,0
