Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Ryan Anderson,New Orleans,1,0,0,8,8-15,3-4,38:20,4,4,-3,22,1,3-8,12,1
Al-Farouq Aminu,New Orleans,2,1,0,1,5-10,0-0,29:57,0,2,-8,12,2,2-3,1,1
Anthony Davis,New Orleans,0,1,1,11,8-14,2-2,37:47,5,4,-12,18,1,0-0,16,0
Jrue Holiday,New Orleans,9,1,1,3,1-9,1-2,31:45,0,1,-12,3,0,0-1,3,4
Brian Roberts,New Orleans,2,1,0,0,2-3,0-0,19:33,0,4,+0,5,1,1-1,0,1
Tyreke Evans,New Orleans,9,0,2,2,7-21,0-0,32:21,2,4,-17,16,0,2-5,4,2
Jason Smith,New Orleans,2,1,1,3,5-9,0-0,14:48,1,2,+0,10,0,0-0,4,0
Austin Rivers,New Orleans,0,0,0,0,3-5,0-0,12:25,0,2,+11,8,0,2-2,0,1
Darius Miller,New Orleans,2,0,0,1,1-3,0-0,11:40,0,1,-1,2,0,0-1,1,0
Anthony Morrow,New Orleans,0,0,0,1,0-2,0-0,6:23,0,0,+0,0,0,0-1,1,0
Alexis Ajinca,New Orleans,1,0,0,0,1-2,0-0,5:01,0,1,-3,2,0,0-0,0,0
Chandler Parsons,Houston,4,0,1,6,6-10,6-6,40:07,1,0,+15,19,2,1-2,7,0
Terrence Jones,Houston,2,3,1,7,6-8,5-6,34:17,1,0,+9,17,0,0-0,8,0
Dwight Howard,Houston,3,1,0,12,10-11,4-6,42:14,6,4,+12,24,1,0-0,18,8
James Harden,Houston,2,0,0,4,7-17,6-7,40:20,1,2,+2,21,0,1-7,5,3
Jeremy Lin,Houston,5,0,1,3,3-12,2-2,34:07,0,2,+7,10,1,2-5,3,2
Aaron Brooks,Houston,1,0,1,0,3-8,2-2,20:09,1,2,-1,9,0,1-5,1,1
Omri Casspi,Houston,0,1,0,2,3-6,0-3,12:39,2,0,+7,7,1,1-3,4,0
Francisco Garcia,Houston,1,0,0,0,0-4,0-0,12:17,0,0,-1,0,1,0-4,0,0
Donatas Motiejunas,Houston,1,0,1,1,0-1,0-0,3:50,0,1,-5,0,0,0-0,1,0
