Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Roger Mason Jr.,New Orleans,0,1,0,2,3-6,1-1,15:30,0,2,+0,8,0,1-4,2,2
Dominic McGuire,New Orleans,1,1,0,2,0-3,0-0,18:54,1,1,+0,0,1,0-0,3,1
Robin Lopez,New Orleans,1,2,0,3,10-16,2-2,27:35,6,4,+0,22,0,0-0,9,2
Ryan Anderson,New Orleans,0,0,0,4,2-13,3-3,26:35,1,0,+0,7,0,0-8,5,1
Xavier Henry,New Orleans,0,0,0,2,0-0,2-2,6:08,0,0,+0,2,0,0-0,2,0
Greivis Vasquez,New Orleans,10,0,0,5,1-7,2-2,30:54,0,1,+0,5,0,1-3,5,6
Lance Thomas,New Orleans,0,0,0,4,1-1,1-2,22:10,2,2,+0,3,0,0-0,6,0
Anthony Davis,New Orleans,0,1,0,2,7-15,2-3,41:50,3,2,+0,16,0,0-1,5,1
Austin Rivers,New Orleans,0,0,0,0,1-4,1-4,21:21,0,2,+0,3,0,0-1,0,3
Darius Miller,New Orleans,1,0,0,2,1-3,2-2,11:58,1,2,+0,4,0,0-1,3,3
Brian Roberts,New Orleans,2,0,0,2,3-7,1-1,17:06,0,2,+0,7,2,0-1,2,1
Lamar Odom,LA Clippers,2,0,0,5,2-4,0-0,20:27,1,2,+0,4,0,0-2,6,0
Jamal Crawford,LA Clippers,5,0,0,0,6-14,4-4,31:50,1,2,+0,17,3,1-4,1,2
Caron Butler,LA Clippers,1,0,0,4,2-8,2-2,22:24,1,1,+0,6,0,0-4,5,0
Matt Barnes,LA Clippers,0,1,0,4,5-7,0-0,22:00,1,3,+0,11,1,1-3,5,2
Willie Green,LA Clippers,1,0,0,3,2-5,0-0,19:46,0,2,+0,6,0,2-4,3,0
Chris Paul,LA Clippers,12,0,0,4,4-9,2-2,27:57,1,2,+0,10,1,0-2,5,0
Ronny Turiaf,LA Clippers,0,2,0,1,1-1,1-1,19:26,0,1,+0,3,0,0-0,1,0
Ryan Hollins,LA Clippers,0,0,0,0,1-1,0-0,3:36,0,2,+0,2,0,0-0,0,1
DeAndre Jordan,LA Clippers,1,2,0,4,6-7,0-3,23:57,1,2,+0,12,0,0-0,5,5
Blake Griffin,LA Clippers,2,0,0,2,7-12,4-5,28:34,2,1,+0,18,1,0-1,4,0
Eric Bledsoe,LA Clippers,4,2,0,1,1-6,2-2,20:03,1,3,+0,4,2,0-0,2,2
