Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Al-Farouq Aminu,New Orleans,1,1,0,8,8-13,2-2,36:29,4,3,-7,18,1,0-2,12,2
Greg Stiemsma,New Orleans,1,1,0,10,0-1,3-4,32:47,2,4,-8,3,2,0-0,12,2
Alexis Ajinca,New Orleans,0,0,0,3,2-5,0-0,16:17,2,2,+0,4,0,0-0,5,3
Eric Gordon,New Orleans,1,1,1,3,5-17,3-5,35:15,1,3,-3,14,1,1-5,4,0
Brian Roberts,New Orleans,3,0,0,3,3-10,3-3,26:09,0,1,-5,9,0,0-4,3,2
Tyreke Evans,New Orleans,3,0,1,3,4-15,3-5,23:40,3,1,-24,11,0,0-3,6,2
Jeff Withey,New Orleans,1,3,0,2,1-1,1-2,22:30,0,2,-1,3,0,0-0,2,1
Austin Rivers,New Orleans,2,0,0,1,3-9,2-2,21:51,1,5,-6,8,0,0-3,2,1
Anthony Morrow,New Orleans,0,0,0,1,3-8,0-0,18:08,0,2,-1,7,0,1-3,1,0
Darius Miller,New Orleans,0,0,1,1,0-3,0-0,6:54,0,3,+0,0,0,0-1,1,0
Kevin Love,Minnesota,5,0,3,9,11-26,7-9,43:26,5,1,+8,30,0,1-6,14,3
Corey Brewer,Minnesota,2,0,0,2,1-4,1-2,25:20,0,2,+8,3,1,0-2,2,1
Ronny Turiaf,Minnesota,1,0,1,5,2-5,0-0,26:13,3,4,+9,4,0,0-0,8,1
Kevin Martin,Minnesota,1,2,1,5,7-18,3-5,33:22,1,1,+1,18,0,1-6,6,2
Ricky Rubio,Minnesota,6,0,1,2,1-4,3-3,24:19,1,4,+11,5,1,0-1,3,2
J.J. Barea,Minnesota,6,0,0,2,4-9,1-2,23:41,0,0,+0,10,0,1-3,2,3
Luc Richard Mbah a Moute,Minnesota,0,1,0,1,0-2,3-4,22:40,2,3,+3,3,1,0-0,3,0
Dante Cunningham,Minnesota,1,0,0,6,6-7,0-0,19:55,0,2,+4,12,0,0-0,6,1
Chase Budinger,Minnesota,1,0,0,2,1-5,0-0,14:38,0,2,+10,3,0,1-2,2,0
Gorgui Dieng,Minnesota,0,0,0,4,0-2,0-0,6:26,0,2,+1,0,0,0-0,4,0
