Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Anthony Davis,New Orleans,0,2,3,4,6-14,6-7,32:21,2,3,+7,18,2,0-0,6,3
Al-Farouq Aminu,New Orleans,1,0,1,6,6-8,0-0,28:03,4,3,+3,12,2,0-0,10,1
Greg Stiemsma,New Orleans,1,0,0,1,0-0,1-2,13:51,1,6,+11,1,0,0-0,2,1
Jrue Holiday,New Orleans,8,0,0,0,3-7,0-0,25:24,0,1,+8,6,1,0-3,0,2
Eric Gordon,New Orleans,1,0,1,0,6-9,7-8,20:42,1,1,+9,21,1,2-3,1,3
Ryan Anderson,New Orleans,1,0,0,5,6-16,4-5,31:37,1,3,-4,18,1,2-8,6,0
Brian Roberts,New Orleans,2,0,0,1,5-9,2-2,24:15,0,2,-5,14,2,2-3,1,2
Austin Rivers,New Orleans,2,0,1,3,2-5,2-4,20:24,0,0,+10,7,0,1-1,3,1
Anthony Morrow,New Orleans,0,0,0,1,1-5,2-2,18:11,0,0,-18,4,1,0-2,1,0
Lance Thomas,New Orleans,0,0,0,2,2-2,0-0,13:17,0,0,+5,4,0,0-0,2,0
Arinze Onuaku,New Orleans,0,0,0,1,0-0,0-0,11:55,0,2,-11,0,0,0-0,1,0
Kevin Durant,Oklahoma City,1,3,0,6,8-20,6-8,31:43,0,0,-5,25,1,3-6,6,6
Serge Ibaka,Oklahoma City,1,2,0,3,5-8,0-0,29:16,1,5,-6,11,0,1-1,4,3
Hasheem Thabeet,Oklahoma City,0,0,0,3,0-0,2-2,13:53,0,5,-14,2,0,0-0,3,1
Reggie Jackson,Oklahoma City,9,0,0,2,4-12,4-4,29:38,0,2,-14,12,1,0-3,2,4
Thabo Sefolosha,Oklahoma City,5,0,0,3,3-4,2-2,26:42,1,0,-10,10,1,2-3,4,3
Steven Adams,Oklahoma City,2,1,0,9,5-7,0-0,33:57,6,6,+11,10,0,0-0,15,3
Jeremy Lamb,Oklahoma City,3,0,1,1,4-10,2-2,28:49,0,5,+9,12,1,2-5,1,0
Derek Fisher,Oklahoma City,2,0,0,2,2-4,2-2,18:22,0,4,+11,7,0,1-2,2,1
Ryan Gomes,Oklahoma City,0,0,1,0,4-6,0-0,12:14,1,1,+5,11,0,3-3,1,0
Perry Jones,Oklahoma City,1,0,0,2,1-2,0-0,11:55,0,0,+3,2,0,0-0,2,0
Andre Roberson,Oklahoma City,0,0,0,0,0-0,0-0,3:27,0,0,-5,0,0,0-0,0,0
Diante Garrett,Oklahoma City,0,0,0,0,0-0,0-0,0:04,0,0,+0,0,0,0-0,0,0
