Player Name,Team,Assists,Blocked Shots,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Anthony Davis,New Orleans,1,1,2,7,5-13,4-5,36:17,5,4,-2,14,4,0-0,12,1
Al-Farouq Aminu,New Orleans,0,0,0,6,3-6,2-2,25:30,2,3,-3,8,0,0-1,8,2
Jason Smith,New Orleans,3,2,0,5,9-12,4-4,41:15,3,1,+0,22,0,0-0,8,0
Jrue Holiday,New Orleans,7,0,1,1,8-17,0-0,35:53,1,4,+0,16,0,0-2,2,5
Eric Gordon,New Orleans,5,0,2,3,5-14,2-2,32:20,2,1,+3,14,2,2-4,5,3
Anthony Morrow,New Orleans,0,0,0,3,7-11,0-0,28:05,0,3,-11,16,0,2-4,3,1
Austin Rivers,New Orleans,1,0,0,0,0-2,0-0,11:57,0,0,-5,0,0,0-0,0,1
Brian Roberts,New Orleans,1,0,2,0,1-5,0-0,10:24,0,2,-4,2,0,0-2,0,0
Tyreke Evans,New Orleans,1,0,2,2,0-3,0-0,7:12,0,1,-7,0,0,0-0,2,1
Lance Thomas,New Orleans,1,0,2,1,1-4,0-0,7:09,0,0,-1,2,0,0-0,1,0
Greg Stiemsma,New Orleans,0,0,0,1,0-1,0-0,3:59,1,1,-5,0,0,0-0,2,1
P.J. Tucker,Phoenix,1,0,0,2,1-5,0-0,23:53,0,1,+6,2,2,0-2,2,1
Channing Frye,Phoenix,0,1,0,4,1-6,1-2,20:24,1,4,+0,3,2,0-2,5,2
Miles Plumlee,Phoenix,0,5,0,9,4-9,0-0,27:54,3,1,+8,8,1,0-0,12,0
Eric Bledsoe,Phoenix,6,1,0,4,7-11,8-9,33:21,0,3,-1,24,1,2-3,4,5
Gerald Green,Phoenix,2,0,1,1,6-12,2-2,24:59,2,2,-3,15,1,1-5,3,2
Markieff Morris,Phoenix,2,1,1,2,9-12,4-4,33:53,3,1,+6,23,2,1-1,5,0
Goran Dragic,Phoenix,3,0,0,1,4-9,3-6,29:34,0,0,+8,12,0,1-3,1,1
Marcus Morris,Phoenix,0,0,1,5,3-7,0-0,22:13,0,1,-1,8,1,2-2,5,2
Archie Goodwin,Phoenix,0,3,0,2,3-7,0-0,16:41,1,1,+10,6,0,0-4,3,1
Dionte Christmas,Phoenix,0,0,0,0,0-0,0-0,5:26,0,2,+1,0,0,0-0,0,0
Viacheslav Kravtsov,Phoenix,0,0,0,0,0-0,0-0,1:43,0,0,+1,0,0,0-0,0,0
